#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.55027570381     All      -0.49140193060025816       0.3449576751306971         -0.036083123425169505      0.2708196149256375        
Zeropoint     AB|CNIa02|SDSS_i                      7397.544034828264    All      0.24804047750380614        -0.04240118788088054       0.2454658251957855         -0.0836523932680339       
Zeropoint     AB|CNIa02|SDSS_r                      6100.187901500774    All      0.5610563142974924         -0.02418181284618015       0.3984872851969721         -0.17284865442074507      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.239913637349    All      0.18699188163913302        0.24906715786050526        -0.19972280796345898       0.011307248055497838      
Zeropoint     AB|PS|PS_z                            8542.08482286405     All      0.20478487351230906        -0.05583164524578521       0.038281194482641785       -0.08318306029771086      
Zeropoint     AB|PS|PS_r                            6136.628406305325    All      0.6079556466935816         -0.09209398040361805       -0.6747021855399713        -0.2581380542397967       
Zeropoint     AB|PS|PS_g                            4832.249171630321    All      -0.5950671643352349        0.6833882705080896         0.16736869080475228        0.42390389103699533       
Zeropoint     AB|PS|PS_i                            7432.786050772007    All      0.27353126113695475        -0.06553907557984573       0.061466285328049125       -0.1077034057416475       
Check         All|All|All                           All                  All      0.995891359847784          0.9973654015429823         0.0005611640796009953      0.0005051860501966154     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.55027570381     All      -0.00012304021365568905    6.737513110801683e-05      -8.882958861273737e-05     5.806048570806543e-05     
Lambda        AB|CNIa02|SDSS_i                      7397.544034828264    All      -6.823435862611795e-05     1.1638391660278582e-05     -7.156251694858744e-05     2.2823676047048876e-05    
Lambda        AB|CNIa02|SDSS_r                      6100.187901500774    All      -5.957476378203222e-05     1.9578325763103966e-06     -5.8177430148179746e-05    1.744699948796156e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.239913637349    All      7.820403745033526e-06      3.1823219677831444e-05     -0.00015374616942306403    9.57521407764868e-07      
Lambda        AB|PS|PS_z                            8542.08482286405     All      0.00015699594520772776     -5.2944392578598685e-05    -6.669728550334368e-05     -7.136086837142818e-05    
Lambda        AB|PS|PS_r                            6136.628406305325    All      -0.00011976915581129485    -1.8895538622759463e-05    -0.0005001010157831138     1.0540644308224363e-05    
Lambda        AB|PS|PS_g                            4832.249171630321    All      -0.00014262646183600013    -6.254119297037368e-06     -0.0006696771641279372     1.4536342362682533e-05    
Lambda        AB|PS|PS_i                            7432.786050772007    All      -2.9302961769162376e-05    -1.805591788716871e-05     -0.00029750094577141216    -9.612568628237723e-06    
MWEBV         All|All|All                           All                  All      -0.7862381577152475        -4.078075077191112         0.04543306232724774        -1.0702321139860038       
Redshift      All|All|All                           All                  All      4.784843825652417          0.6753099040497368         3.4029399172096864         -1.1867528185488447       
