#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.55027570381     All      -0.37482406269432966       0.259182529127866          -0.07631544161139647       0.20311119749883855        
Zeropoint     AB|CNIa02|SDSS_i                      7397.544034828264    All      0.23728527839402086        -0.0411281343715153        0.22430465051113124        -0.08067872170863558       
Zeropoint     AB|CNIa02|SDSS_r                      6100.187901500774    All      0.4703948423605876         -0.02532676490440977       0.251056421721918          -0.15026934120165947       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.239913637349    All      0.14717081272818835        0.20812059075483447        -0.512611295353782         -0.0030221398817009888     
Zeropoint     AB|PS|PS_z                            8542.08482286405     All      0.22550845733994215        -0.060530256007496064      0.03245658833144205        -0.09172383086189924       
Zeropoint     AB|PS|PS_r                            6136.628406305325    All      0.6439885975729039         -0.08335134877048844       -0.6029883525926039        -0.26382715004839713       
Zeropoint     AB|PS|PS_g                            4832.249171630321    All      -0.6434463827662352        0.7985729728124724         0.48579898801075494        0.49139212278051503        
Zeropoint     AB|PS|PS_i                            7432.786050772007    All      0.289544230885345          -0.057993423309010694      0.19371712476967673        -0.10455974205241367       
Check         All|All|All                           All                  All      0.995621773820423          0.9975461653322526         -0.004581316212859399      0.0004223945246475125      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.55027570381     All      -8.807147490446992e-05     4.460357854987645e-05      -0.00016324998765377652    3.5931532620774917e-05     
Lambda        AB|CNIa02|SDSS_i                      7397.544034828264    All      -5.454222213803259e-05     9.340701525977971e-06      -4.805582400488639e-05     1.866425921020884e-05      
Lambda        AB|CNIa02|SDSS_r                      6100.187901500774    All      3.684405903431482e-05      -8.670579419878173e-06     5.2019011776515274e-05     -1.2504245550752572e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.239913637349    All      -2.7908263292460426e-05    3.214379644623051e-05      -0.00025283929830886956    8.27787487634391e-06       
Lambda        AB|PS|PS_z                            8542.08482286405     All      0.00017374369190876942     -4.970336630082911e-05     3.0260629572032633e-06     -7.264901875715364e-05     
Lambda        AB|PS|PS_r                            6136.628406305325    All      -4.790624079298266e-05     3.388920558511015e-06      -6.490780533983123e-05     1.3811984371314918e-05     
Lambda        AB|PS|PS_g                            4832.249171630321    All      -0.00015634836463755938    3.82763752459702e-06       -0.0006774299660180448     2.194400547807305e-05      
Lambda        AB|PS|PS_i                            7432.786050772007    All      -1.786120021277608e-05     -1.1957671950803472e-05    -0.0002178432179123882     -7.798368922483575e-06     
MWEBV         All|All|All                           All                  All      -0.7741279198051476        -4.080573569627877         0.056990695210945574       -1.074474893999619         
Redshift      All|All|All                           All                  All      4.18063694329384           0.8023238762532081         2.6687791265932237         -0.9813323539730816        
