#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6304.397843985573    All      0.17644412344170077        -0.005248016549774803      -0.024717519808747923      -0.060286136874682095      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6514.755441193819    All      0.21389108595642728        -0.03572548049706192       -0.11921964769424642       -0.08662855315557036       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8141.857468442288    All      0.08447840191388611        -0.016434183189573126      0.040035180609554466       -0.03108396265796426       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7815.674065555404    All      0.10968641487315348        -0.026999529015825363      0.0442823394496028         -0.042546991330418005      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6361.660658885896    All      0.7518026380389352         -0.09057882076195511       0.3915799105094653         -0.25691694171371127       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5362.102986262703    All      0.355328279749957          0.2718832655483894         0.04142065896085567        -0.025332372613658116      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5359.449038723047    All      0.07282616340564281        0.061771910038244116       -0.16097114419388325       -0.010784136847544201      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7866.113805204528    All      0.2607440554018867         -0.05874646445978016       0.19900001197885042        -0.09518811668422292       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4350.336742010135    All      -0.6253242320574983        0.4899448407281959         0.08898326677492796        0.3672507427797587         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4376.030060609112    All      -0.25247206939837746       0.1831542917772877         -0.3741035262501746        0.1252033153353066         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5329.01368227008     All      0.022613041262118348       0.06617417800784953        -0.270722550204594         0.0021081913249842987      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4365.168642945092    All      -0.1414317844066994        0.1025138038800888         -0.01640177033762069       0.07872916799691668        
Check         All|All|All                                      All                  All      1.0285861181811324         0.9417097955060849         -0.16083479020601033       -0.03547579444080487       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6304.397843985573    All      0.00010546827621448167     -2.7350972974717817e-05    8.262302596252549e-05      -3.9576512909554884e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6514.755441193819    All      6.18382704109316e-06       -8.948687293775025e-06     -7.32344547103352e-05      -8.197275123838472e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8141.857468442288    All      -8.840152101304054e-06     -2.1620575681961655e-06    -3.20439626433641e-05      7.453002120413704e-07      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7815.674065555404    All      1.1692456040128941e-05     -8.031937022714154e-06     -5.6229187806818355e-05    -8.934134134324824e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6361.660658885896    All      -3.665475415686771e-05     -3.362596714635233e-07     -0.00011383618257836962    6.750142499077377e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5362.102986262703    All      8.934700953193417e-05      0.00012169789209466512     -0.0005597602205035457     -1.4441780992265416e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5359.449038723047    All      3.0397354862359746e-05     2.500722344402532e-05      -0.00026315862820915596    -1.3499304066120131e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7866.113805204528    All      1.7035601956174385e-05     -6.837944995315105e-06     -2.8586440268943387e-05    -9.052081194897308e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4350.336742010135    All      -0.00042667514236392295    0.00029175446482126744     -0.0001688894192542919     0.00022647939959197146     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4376.030060609112    All      -0.00010599563791818336    6.0699591384127605e-05     -0.0004944294593355551     3.223400435613678e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5329.01368227008     All      8.184807391596991e-05      8.099075138998893e-06      -0.0003544555654947388     -3.984019910415317e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4365.168642945092    All      -9.536698920429527e-05     5.934738364289099e-05      -0.00018993133790156974    4.1919797900544365e-05     
MWEBV         All|All|All                                      All                  All      -0.7815142380849971        -4.089779679171457         -0.04310512337357686       -1.079534476543531         
Redshift      All|All|All                                      All                  All      2.86120035573303           -1.8153032770968025        2.2939047761750153         -1.4209246509751972        
