#Format:      
#Parameter    MagSys|Instrument|Band                           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R                   6304.397843985573    All      0.3653647075900993         -0.012129988592413099      -0.04188406620127575       -0.1248315352612662        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6514.755441193819    All      0.33442010972458114        -0.08539952827808506       -0.3371795025360633        -0.15179584034205437       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I                   8141.857468442288    All      0.1020914374180679         -0.01789875982485256       0.07590062122964078        -0.035697658675719765      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7815.674065555404    All      0.12880478290435496        -0.03218709562391453       0.06241213561737249        -0.04965518434810732       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R                   6361.660658885896    All      0.558162660108812          -0.06910029008198038       0.2585232816348188         -0.19278347251036554       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V                   5362.102986262703    All      0.27939408248800396        0.22293214601862843        0.3792425190763374         -0.0014676584221229015     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5359.449038723047    All      0.11400646126098762        0.09670276232593977        -0.001715566686745708      -0.005712941879847561      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I                   7866.113805204528    All      0.17944553998859725        -0.04028096910824175       0.1410241569808372         -0.06527889237474407       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B                   4350.336742010135    All      -0.5026770376843294        0.39366922069978827        0.32317477230426883        0.3063912710715969         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B                   4376.030060609112    All      -0.313673201130964         0.20365778124613598        -0.3018576624825837        0.15504119954950685        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V                   5329.01368227008     All      0.008293454478881648       0.16653683293341714        -0.5187050898115427        0.028397648583177244       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4365.168642945092    All      -0.25712899890454133       0.16932520693861974        -0.036781728639330304      0.13726876515295533        
Check         All|All|All                                      All                  All      0.9965039982425513         0.995827318653042          0.002153870485733865       -0.00012429945699146683    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R                   6304.397843985573    All      -5.827720193237899e-05     -1.928966202735344e-06     2.8350997406374694e-05     1.961964898186221e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_R    6514.755441193819    All      -5.425034465046845e-05     -3.419627282589773e-06     -0.0001408408131872048     1.0272158293560789e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I                   8141.857468442288    All      -1.1356082195359405e-05    2.1427968905573413e-06     -2.3763728959821722e-06    4.290982410152179e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_I    7815.674065555404    All      -2.5207742876893722e-06    1.1166448479698487e-06     4.880854583297158e-06      1.4026372031175674e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R                   6361.660658885896    All      -0.00019854402425946237    -2.9008000566269666e-06    -0.0004948493377484971     4.164458141084408e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V                   5362.102986262703    All      -1.4222215073329087e-05    2.4648630256365714e-05     -0.0006254444603814186     -1.5249200567608977e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_V    5359.449038723047    All      9.47836597561854e-06       2.8080537067810277e-05     -0.0003325017458439227     -8.778686673754294e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I                   7866.113805204528    All      1.4254092734814114e-05     1.762075820907681e-06      7.496254587968529e-05      -7.238267519184192e-07     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B                   4350.336742010135    All      -0.0002702085266873659     0.00010543660558193845     -0.00036687695558858957    0.00010598794441487543     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B                   4376.030060609112    All      -0.00010663200718914894    3.7178267282433574e-05     -0.00012969537305076306    4.1056028782940706e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V                   5329.01368227008     All      3.380066293121644e-05      2.791217994470196e-05      -2.7113576971470607e-05    -3.128027046125718e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA34_4Sh_Harris_B    4365.168642945092    All      -0.0001873100930261316     8.957589467494624e-05      -0.00022988030759477077    7.993237314677336e-05      
MWEBV         All|All|All                                      All                  All      -0.829365103971591         -4.067137686124944         0.05505525116613393        -1.052192186561431         
Redshift      All|All|All                                      All                  All      4.156065733528391          -0.4647499618635642        -0.1148398415380801        -1.5102764669976132        
