#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6096.953737819143    All      0.4301252968900398        0.6051146138801755        -0.3902918392923782       0.0395828452791791         
Zeropoint     AB|PS|PS_i                7384.731434626421    All      0.8228994525308111        -0.3463409578531085       0.028549123683541122      -0.37958605226035          
Zeropoint     AB|PS|PS_z                8486.858343258447    All      0.6309360735775708        -0.38532081759377057      0.0868201046398287        -0.3271539207933827        
Zeropoint     AB|PS|PS_g                4801.007605214131    All      -0.8585871527741997       0.9813583875667664        0.2150150794524075        0.6089259303667577         
Check         All|All|All               All                  All      1.025373670224222         0.8548112260000629        -0.05990753151660089      -0.05823119740779592       
Lambda        AB|PS|PS_r                6096.953737819143    All      0.00024026776491013315    1.5121488908614324e-05    0.0002619701254666735     -6.164702567185165e-05     
Lambda        AB|PS|PS_i                7384.731434626421    All      0.0003341361535391833     -0.0004180054593760817    -0.0003130964024692943    -0.00025896932249301575    
Lambda        AB|PS|PS_z                8486.858343258447    All      0.0012244655987384582     -0.0006440568156466025    0.0003454689458849668     -0.0005932225305533617     
Lambda        AB|PS|PS_g                4801.007605214131    All      -0.0009680670468414716    0.0011733134869111985     0.00024985557115884743    0.0007086679957659388      
MWEBV         All|All|All               All                  All      -0.5036247168616219       -4.301489765432365        0.026844354126898118      -1.2358916521352958        
Redshift      All|All|All               All                  All      4.248781827923791         -4.630026308632917        -4.897048827503214        -3.110652712027573         
