#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6096.953737819143    All      0.7825885334865768         0.2985774044166334         -1.5580182466413524       -0.22718554685987255       
Zeropoint     AB|PS|PS_i                7384.731434626421    All      0.6695769870145446         -0.34185186353870023       0.550572661161316         -0.3048861224671481        
Zeropoint     AB|PS|PS_z                8486.858343258447    All      0.5382429398629144         -0.1644816296419549        0.475318334807499         -0.20768923701506253       
Zeropoint     AB|PS|PS_g                4801.007605214131    All      -0.9852569340068598        1.2031364249796894         0.5678918957207303        0.7381741200978141         
Check         All|All|All               All                  All      1.005151526357176          0.9953803362156677         0.03576464504819288       -0.0015867862442690006     
Lambda        AB|PS|PS_r                6096.953737819143    All      -5.8827499194887566e-05    -4.6889531727344844e-05    -0.0005141617133299714    -1.9056087054939207e-05    
Lambda        AB|PS|PS_i                7384.731434626421    All      0.00025618697614593073     -0.00025265325803622014    0.00014870200526529817    -0.00015911011708821013    
Lambda        AB|PS|PS_z                8486.858343258447    All      0.0008250965077239671      -0.0002476953439010021     0.0007394619790787229     -0.00031644480797758445    
Lambda        AB|PS|PS_g                4801.007605214131    All      -0.0008660914210331147     0.0010338456340674112      -6.856246356929425e-06    0.0006185660421334289      
MWEBV         All|All|All               All                  All      -0.5960985603648141        -4.144365425948315         0.2862198164624614        -1.1430145767844118        
Redshift      All|All|All               All                  All      6.458414547404068          -3.590061820295176         1.2386925459830491        -3.217842178794647         
