#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5415.256942102722    All      0.8276307911356631        0.24221345260606597        0.2230262721804016        -0.18073704861266518      
Zeropoint     AB|DECam|DECam_r          4457.459826772238    All      -0.37786288633036064      0.43432316008118477        -1.2780231328593135       0.20752341277192818       
Zeropoint     AB|DECam|DECam_z          6345.884690390295    All      1.0551236676920106        0.10698913580746705        0.7471939182214026        -0.27549477690169755      
Zeropoint     AB|DECam|DECam_g          3353.807882043771    All      -0.5075323754208437       0.21496854550928646        0.3146562064777376        0.249383980852632         
Check         All|All|All               All                  All      0.9973591970764694        0.9984942940040042         0.006853264020228456      0.0006755681101974498     
Lambda        AB|DECam|DECam_i          5415.256942102722    All      0.0002251397597892827     1.8371380521031576e-05     -0.0002593593259634017    -7.892527912874175e-05    
Lambda        AB|DECam|DECam_r          4457.459826772238    All      -0.0002082584080386247    -0.00021700335981569266    -0.001800042815161697     -8.317616203720537e-05    
Lambda        AB|DECam|DECam_z          6345.884690390295    All      -0.0003995002699396171    -8.693053087470082e-05     -0.0011799741827072288    4.9157418903591526e-05    
Lambda        AB|DECam|DECam_g          3353.807882043771    All      -0.0005904998995378337    0.0003465964810911892      0.0010706899140573445     0.0003530230940895372     
MWEBV         All|All|All               All                  All      -0.46967633826016364      -2.426315638593479         0.11472091394535006       -0.6322223241442354       
Redshift      All|All|All               All                  All      0.8604559305376758        0.32451749669029084        -9.368313160733498        -0.5926375690123369       
