#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_i          5415.256942102722    All      0.8957611957802828         0.28196763591807894       0.47592964358850715        -0.1786942015278757        
Zeropoint     AB|DECam|DECam_r          4457.459826772238    All      -0.36061528468327403       0.43648872989745513       -1.1804693983164056        0.20696407394507546        
Zeropoint     AB|DECam|DECam_z          6345.884690390295    All      0.883152847661385          0.07830378499900092       0.3873575893243093         -0.24487982831431715       
Zeropoint     AB|DECam|DECam_g          3353.807882043771    All      -0.42588227919468885       0.2028356997733738        0.324333542184563          0.219267646334641          
Check         All|All|All               All                  All      0.9924164795637047         0.9995958505879088        0.007151376780973884       0.002657690437523591       
Lambda        AB|DECam|DECam_i          5415.256942102722    All      0.00019688873839122825     6.926585118637172e-05     0.00019674245267458404     -3.2791260973432736e-05    
Lambda        AB|DECam|DECam_r          4457.459826772238    All      -0.00021099408354822066    -0.0002041012034410249    -0.0017856281202359733     -7.743914409287709e-05     
Lambda        AB|DECam|DECam_z          6345.884690390295    All      -0.0002250878370169969     -3.306347863734418e-05    -0.00020079785820141744    5.3587964757673794e-05     
Lambda        AB|DECam|DECam_g          3353.807882043771    All      -0.000707816102793137      0.00027081143685887046    -0.00011176362965005667    0.00031378368807490216     
MWEBV         All|All|All               All                  All      -0.45483339908610865       -2.4195617058932584       0.21741934856608938        -0.6302742202128976        
Redshift      All|All|All               All                  All      1.8805558003271456         0.6076405159305409        -4.154757831856036         -0.6000381457201569        
