#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5204.89015657408     All      -0.7094631493946819        0.9879534448651306         -0.2156479573015981        0.5432810501985321        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5997.669153461302    All      0.9806279582417589         0.13177189417854507        0.012151385162721526       -0.27595808608987654      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4208.712796074159    All      -0.505562295523129         0.4106965392087325         -0.08009120474887134       0.2948815438701193        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7307.097365442519    All      1.2264282643757947         -0.5274490197678006        0.28272332986584037        -0.5586788885837053       
Check         All|All|All                                All                  All      0.9920307776997427         1.0029728584846076         -0.0008644470219075773     0.003525619395069568      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5204.89015657408     All      -0.0008289898399608793     0.0010624971038342966      -0.0024007829201000124     0.0005089836103392424     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5997.669153461302    All      -0.0002635988737640781     0.00018713902624744634     -0.0013915930363441755     8.47197570138021e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4208.712796074159    All      -0.0005208086317546418     0.0004716677309969013      -0.00024954597852391944    0.0003121461119523668     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7307.097365442519    All      -0.00011465032504847462    -0.00019586431650722922    -0.0004488966788311349     -4.648626594743327e-05    
MWEBV         All|All|All                                All                  All      -0.7078521210556747        -3.958394065088644         0.030273113646174993       -1.0574575008024245       
Redshift      All|All|All                                All                  All      13.284641972563113         -7.009763902435218         25.941415905939813         -5.452909412340253        
