#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5204.89015657408     All      -0.6879597452337421        0.9084293031530244         0.22931641715697726        0.5302297711847793        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5997.669153461302    All      0.7167386041647376         0.2669986093655652         -0.6024022791430994        -0.17337755929699578      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4208.712796074159    All      -0.3679001871984538        0.31878829140117304        -0.13469326334112353       0.21766628714068176       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7307.097365442519    All      1.330306249729107          -0.49346416529063575       0.5066329094277622         -0.5714533245694264       
Check         All|All|All                                All                  All      0.9911849214616483         1.0007520386291269         -0.0011462158994834937     0.0030651744590388663     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5204.89015657408     All      -0.0007255599359566354     0.0008026373572537287      -0.0021088221248138327     0.00040367708863546227    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    5997.669153461302    All      -3.328686430134373e-05     -7.99019175658241e-05      -0.0008814511305674755     -5.451917203655521e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4208.712796074159    All      -0.00041711055978336267    0.0003798084084794891      -0.0002215704536664799     0.00024969505410766906    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7307.097365442519    All      -6.381623998949124e-05     -0.00027709107642045675    -0.00010526508998849168    -7.416812826038727e-05    
MWEBV         All|All|All                                All                  All      -0.693923030122344         -3.9681067504917067        0.013890272451289043       -1.0658894961053864       
Redshift      All|All|All                                All                  All      11.215373165348366         -4.685446022881035         18.53426655440846          -4.352320739503401        
