#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4373.6600598275845    All      0.05193132725556859        0.7009074576100005         11.896553547714994        0.7422814222773244         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7593.476069528454     All      1.2818071482873272         -0.16371016939977778       10.26426769457398         -0.012805421345429835      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5408.879459494647     All      -2.0195716527618526        0.7419990844862667         -24.814319625533          -0.20781467473938164       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6232.7289362729425    All      1.6411822641161218         -0.29428223132335063       2.504984228894802         -0.5186585198960536        
Check         All|All|All                                All                   All      0.9553490868971652         0.9849141413731388         -0.14851415434922188      0.003002806296459326       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4373.6600598275845    All      4.630185381267345e-05      0.00048065432339640027     0.008271763499114798      0.0005106137032450991      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7593.476069528454     All      -0.0002928421259755756     3.5118756654281404e-05     -0.0024447125258189447    -2.2686428036933178e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5408.879459494647     All      -0.001143058305841862      0.00047702997024863086     -0.01377808845132437      -8.71367562674091e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6232.7289362729425    All      -0.00018880424539734772    -3.3683099148667084e-06    -0.0007584597042664613    2.655601172572502e-05      
MWEBV         All|All|All                                All                   All      -0.7015365479993441        -4.0990795311006245        2.1299992896219866        -1.011639439877221         
Redshift      All|All|All                                All                   All      8.010888027996112          -3.8187443745983707        50.67138572337995         -1.5920692372936252        
