#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4373.6600598275845    All      -0.3518411782597637        0.7170948270318167        6.968681270881222         0.6591678629974944         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7593.476069528454     All      1.1819337093230806         -0.10731162308021958      7.113377747998276         -0.10251224134447444       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5408.879459494647     All      -0.9996652772482031        0.6633205251267427        -13.302581705375948       -0.05194393852168055       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6232.7289362729425    All      1.151592948920694          -0.28539686562112365      -0.73521658622838         -0.5008841976726729        
Check         All|All|All                                All                   All      0.9820202027358083         0.9877068634572161        0.044260727275170164      0.003827485458666513       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4373.6600598275845    All      -8.15766125026245e-05      9.481320824315197e-05     0.0006866360855006723     8.809738256005492e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7593.476069528454     All      -0.00040100882615277955    3.9482238676863015e-05    -0.0024048007472839356    3.616721903965582e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5408.879459494647     All      -0.00010026196164185471    9.27167985690697e-05      -0.0014864735346425833    -3.4749557117620647e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6232.7289362729425    All      -0.0003191207683458139     0.00010123670793421764    0.0006135678149425221     0.00016430497294044204     
MWEBV         All|All|All                                All                   All      -0.7395706808724674        -4.0768126997849485       1.487868635731847         -1.02065277388183          
Redshift      All|All|All                                All                   All      4.829945926588023          -1.0766524731694371       4.26565705719426          -1.7336167371080933        
