#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4783.794564637068     All      1.4408144562601035         0.4584773446421053        -0.514516063407956         -0.3429400040081069        
Zeropoint     AB|MEGACAMPSF|r           3913.5853515714693    All      -1.167204507007762         0.3277563595752042        -0.7308875421714959        0.4543417828356584         
Zeropoint     AB|MEGACAMPSF|z           5521.0112196611335    All      0.9988440084540273         0.16057826746678217       0.9735842647429399         -0.2296041357385871        
Zeropoint     AB|MEGACAMPSF|g           3059.8230584673865    All      -0.286856988622161         0.05308074025691667       0.2892105549203082         0.12363504068506839        
Check         All|All|All               All                   All      0.9855969690842079         0.9998927119410084        0.01739121408379618        0.005432683774032776       
Lambda        AB|MEGACAMPSF|i           4783.794564637068     All      -4.527886849608166e-05     -3.613377489114389e-05    -0.00034225210019832157    -1.2294281473039832e-05    
Lambda        AB|MEGACAMPSF|r           3913.5853515714693    All      -0.0014685005306210425     0.00022418516484486398    -0.002109992285392608      0.00045720415386551116     
Lambda        AB|MEGACAMPSF|z           5521.0112196611335    All      -0.00026351343663815537    -5.6124642964002e-05      -0.0005303479391629905     4.3886360263460475e-05     
Lambda        AB|MEGACAMPSF|g           3059.8230584673865    All      -0.00086171286676497       0.00014520889619513887    0.0006679118936632188      0.0003577933851439641      
MWEBV         All|All|All               All                   All      -0.31017869613038473       -2.0851227577303177       0.3077282975864262         -0.5644251742119194        
Redshift      All|All|All               All                   All      2.8401855570975894         0.0210543741260949        2.236468983342892          -0.8184804339588008        
