#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7305.4653448349145    All      0.6614052180310426         -0.12016679814195186       0.8430900588159651        -0.21696048147075153       
Zeropoint     AB|PS|PS_z                8395.762264621086     All      0.313382090519659          -0.07649463796797207       0.09135889372182127       -0.12291874920121876       
Zeropoint     AB|PS|PS_g                4749.474641111983     All      -1.1617371137552401        1.1670596816330203         -0.5217330858458713       0.7352831800089172         
Zeropoint     AB|PS|PS_r                6031.510371771928     All      1.180343434579867          0.029019580832745362       -0.43708595497956026      -0.3945291953027105        
Check         All|All|All               All                   All      0.9933936293753285         0.9994178263558418         -0.024370088287645197     0.0008747540342364246      
Lambda        AB|PS|PS_i                7305.4653448349145    All      -0.000165196605070056      2.7930617941023365e-05     -0.0008428908685167815    2.5293542027452866e-05     
Lambda        AB|PS|PS_z                8395.762264621086     All      0.0003454304407144926      -0.00010309984824171532    -0.000449175496895548     -0.00016614571075925018    
Lambda        AB|PS|PS_g                4749.474641111983     All      -0.00016877773032997187    -0.0001505474837939578     -0.0011223748729935281    -4.4148244646286416e-05    
Lambda        AB|PS|PS_r                6031.510371771928     All      -0.00026412889143961557    1.0402029651079353e-05     -0.0008338775000218743    5.2211629833126434e-05     
MWEBV         All|All|All               All                   All      -0.684889829034494         -4.017956284477364         0.04498441077277482       -1.0836819515201954        
Redshift      All|All|All               All                   All      5.683085120453982          1.2028968603760681         14.45392784776051         -0.8143322947670111        
