#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7305.4653448349145    All      0.6193671060715004         -0.12029451752821885      0.5692929705585045         -0.21552719434306325       
Zeropoint     AB|PS|PS_z                8395.762264621086     All      0.3257391783494147         -0.08670369246939202      0.008241360600628106       -0.13397843792069078       
Zeropoint     AB|PS|PS_g                4749.474641111983     All      -1.1234965127414234        1.1907000579453708        0.04238706223386247        0.7557014977891966         
Zeropoint     AB|PS|PS_r                6031.510371771928     All      1.1778553612178468         0.015156792542647679      -0.6192109291580934        -0.40636171529962806       
Check         All|All|All               All                   All      0.9994651328973385         0.9988586404904076        0.0007104642349016199      -0.00016584977418548918    
Lambda        AB|PS|PS_i                7305.4653448349145    All      -0.0001953414947242913     2.8131997003743773e-05    -0.0010998660658834583     2.3710697297068815e-05     
Lambda        AB|PS|PS_z                8395.762264621086     All      0.000314635899029852       -9.206758797715825e-05    -0.00023171729331179994    -0.00014281718442694686    
Lambda        AB|PS|PS_g                4749.474641111983     All      -0.000276633994867056      -8.271213050620777e-05    -0.0012073950734846552     9.286234297540867e-06      
Lambda        AB|PS|PS_r                6031.510371771928     All      -0.00022994504960707833    7.254915327355434e-06     -0.0009031843456404775     3.6958863055924546e-05     
MWEBV         All|All|All               All                   All      -0.6935264279765359        -4.015817567081292        0.05166624966745253        -1.0798738967102006        
Redshift      All|All|All               All                   All      6.073086230851462          0.9934823202140564        15.330667919340868         -0.9704568096702628        
