#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7039.654400099097    All      0.13671961205140515        0.020365189656956773       0.23546846868726812       -0.027392587030714215      
Zeropoint     AB|SDSS|SDSS_r            4882.649912356161    All      0.4444710307834564         0.28944062045539454        -1.1886652761954668       -0.10354317692730973       
Zeropoint     AB|SDSS|SDSS_i            5921.066419022744    All      1.3658945567454017         0.19471626415050736        0.6251314500564373        -0.35359455502839177       
Zeropoint     AB|SDSS|SDSS_g            3736.623528018012    All      -0.9490854800185449        0.49467636120397174        0.3363937582351419        0.48529243846929354        
Check         All|All|All               All                  All      0.9979997195617187         0.9991984354668304         0.00832840078338054       0.0007621194828777988      
Lambda        AB|SDSS|SDSS_z            7039.654400099097    All      -5.525397486882316e-05     -8.560295847017861e-06     -9.758311368799266e-05    1.0854981252947982e-05     
Lambda        AB|SDSS|SDSS_r            4882.649912356161    All      -0.0001503290383846341     -4.2922876924277856e-05    -0.0011316443172992429    -1.5514368081315967e-05    
Lambda        AB|SDSS|SDSS_i            5921.066419022744    All      -0.00018786202498169397    -2.9063840411574516e-05    -8.661498233937943e-05    4.786056416600146e-05      
Lambda        AB|SDSS|SDSS_g            3736.623528018012    All      -0.0014608627941189894     0.0006184250338047106      -0.0008686378195860984    0.0006385291357134868      
MWEBV         All|All|All               All                  All      -0.5521888515315854        -2.9697569038578564        0.14309405719096227       -0.7810958197039445        
Redshift      All|All|All               All                  All      4.128224285707074          -0.3235179138039612        3.4483863918096045        -1.2961932455482477        
