#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7039.654400099097    All      0.1317295553441868         0.020079750388291018       0.24461101070364366        -0.025452148693647092     
Zeropoint     AB|SDSS|SDSS_r            4882.649912356161    All      0.497231659896434          0.3081942616837807         -1.1695960147141138        -0.11376939812002829      
Zeropoint     AB|SDSS|SDSS_i            5921.066419022744    All      1.423671404095647          0.20364891734150348        0.8455731090787566         -0.35966741720206974      
Zeropoint     AB|SDSS|SDSS_g            3736.623528018012    All      -1.055042687787157         0.46747093658527916        0.08686202699094703        0.49980902999029186       
Check         All|All|All               All                  All      0.9975899315491108         0.9993938659988544         0.007450132059233505       0.0009200659745467465     
Lambda        AB|SDSS|SDSS_z            7039.654400099097    All      -5.053898274373615e-05     -7.515665346911156e-06     -8.491044032900782e-05     1.0224946928909095e-05    
Lambda        AB|SDSS|SDSS_r            4882.649912356161    All      -0.00015826696731916358    -8.28048274971453e-05      -0.0010381777438581653     -2.174860295978841e-05    
Lambda        AB|SDSS|SDSS_i            5921.066419022744    All      -0.00033458315566071506    -5.2101929125046664e-05    -0.00037473086459590137    7.529091142867424e-05     
Lambda        AB|SDSS|SDSS_g            3736.623528018012    All      -0.0014473547959009988     0.0004599844089225649      -0.001619436918959273      0.0005490150967186135     
MWEBV         All|All|All               All                  All      -0.5595682324580689        -2.9638443061557496        0.17649163334403362        -0.775275804537312        
Redshift      All|All|All               All                  All      4.7967335022424695         0.36660869592370915        5.953770584353846          -1.177347959694555        
