#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5789.417776163525     All      0.6499926905982601         -0.021960628899897472      -1.0113762554488355        -0.26401037996568344      
Zeropoint     AB|MEGACAMPSF|i           5021.179278446066     All      1.6719794872968032         0.4913960730711153         1.1692685270856251         -0.3323757739462402       
Zeropoint     AB|MEGACAMPSF|g           3216.5264892091327    All      -0.43068368712971966       0.05977133125583123        -0.3903551147932636        0.14233757904197844       
Zeropoint     AB|MEGACAMPSF|r           4106.563595963895     All      -0.9061732258484473        0.4703642345921466         0.2264512870237846         0.4584890184895285        
Check         All|All|All               All                   All      0.9851152649168965         0.9995710100191957         -0.0060115561326893885     0.00444044361958329       
Lambda        AB|MEGACAMPSF|z           5789.417776163525     All      -3.968531280944607e-05     4.992123554632769e-06      0.00014981944659922408     2.1238664673671837e-05    
Lambda        AB|MEGACAMPSF|i           5021.179278446066     All      -0.00030973976043985676    -0.00013608758427403227    -0.0030113666136651015     -7.781923449716433e-05    
Lambda        AB|MEGACAMPSF|g           3216.5264892091327    All      -0.0011096366873127738     0.00013310033851150258     -0.0013475725104645298     0.00034466436217936024    
Lambda        AB|MEGACAMPSF|r           4106.563595963895     All      -0.0005131277105500888     0.0002573686330865125      -4.9085169312655166e-05    0.0002487855620328233     
MWEBV         All|All|All               All                   All      -0.37451655355436664       -2.280137475429811         -0.12349147139744589       -0.6262342845136465       
Redshift      All|All|All               All                   All      5.901564891860604          0.8308273610282413         13.349432193478888         -1.0559821890311907       
