#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5345.193035778913     All      0.30997491758436946        0.11996837311363251        -1.2452089504289443       -0.11745933898355126       
Zeropoint     AB|CNIa02|SDSS_i                      7308.603959902387     All      0.5934333036577085         -0.004609632003038655      0.8267823423981469        -0.15790676050560296       
Zeropoint     AB|CNIa02|SDSS_r                      6026.8458346652105    All      1.1368282196963357         -0.049609207530920685      -0.13453531770613036      -0.392465396010748         
Zeropoint     AB|CNIa02|SDSS_g                      4612.260626869346     All      -0.42863830560892213       0.4376730903438819         0.14485452448220748       0.2886503145950705         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4272.556556743712     All      -0.6113865701954451        0.49302378559570315        0.41054001113769445       0.37806330205765876        
Check         All|All|All                           All                   All      1.0002115651340469         0.9964464095192582         0.0024326098829741127     -0.001117878847173015      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5345.193035778913     All      -3.0321280684420324e-05    -4.4889475459166385e-05    -0.0013118824096305557    -6.3288627001346e-05       
Lambda        AB|CNIa02|SDSS_i                      7308.603959902387     All      -0.00010593941145066571    -7.89844373297973e-05      -0.0008049847356962884    -2.7142649729486354e-05    
Lambda        AB|CNIa02|SDSS_r                      6026.8458346652105    All      -0.00017725612769390827    -5.6766964057830756e-05    -0.0006458306652785517    1.0426828173588257e-05     
Lambda        AB|CNIa02|SDSS_g                      4612.260626869346     All      1.9989501379701226e-05     -4.797318498682142e-05     -9.532575065965622e-05    -2.639163329214839e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4272.556556743712     All      -0.00030268781485451844    7.418174977194971e-05      -0.0005522521714104539    9.811433783167296e-05      
MWEBV         All|All|All                           All                   All      -0.8333840404964454        -3.97992258841553          0.0883559605971529        -1.020988202383477         
Redshift      All|All|All                           All                   All      5.229634641375212          0.9269091617490233         9.411479123884847         -0.9815481562390767        
