#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5345.193035778913     All      0.19606594532210295       0.1910497684080248         -0.7165984089429746       -0.03361242962191065      
Zeropoint     AB|CNIa02|SDSS_i                      7308.603959902387     All      0.6261611220013897        -0.07357449784564096       0.38665514665275724       -0.21067226865003355      
Zeropoint     AB|CNIa02|SDSS_r                      6026.8458346652105    All      1.2470270514024897        -0.0432164459125417        0.07522714404363448       -0.41691771289285134      
Zeropoint     AB|CNIa02|SDSS_g                      4612.260626869346     All      -0.41446802756850126      0.42685277274170375        0.09878164727205466       0.27845403452328227       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4272.556556743712     All      -0.6561002758096812       0.4962731701229295         0.15847749387833712       0.38243806599151237       
Check         All|All|All                           All                   All      0.9986858153478002        0.9973847675144754         0.002543022903808978      -0.0003103106500009778    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5345.193035778913     All      4.7710475286290565e-05    -2.6285202860762893e-05    -0.0011036508852814901    -7.335369688293734e-05    
Lambda        AB|CNIa02|SDSS_i                      7308.603959902387     All      5.346779989349977e-06     -9.415970940004812e-05     -0.0005980939308986484    -5.910272245032994e-05    
Lambda        AB|CNIa02|SDSS_r                      6026.8458346652105    All      -3.060134945618504e-05    -4.054108084797752e-05     -0.0003003937330134091    -1.664289016763177e-05    
Lambda        AB|CNIa02|SDSS_g                      4612.260626869346     All      -6.82519172203192e-05     5.555296513903207e-06      -7.247539997136663e-05    2.0807193465193866e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4272.556556743712     All      -0.0004149649287700564    0.0001675809809347685      -0.0004822312503180471    0.00016823460208835586    
MWEBV         All|All|All                           All                   All      -0.8343591764257425       -3.9886572021121225        0.04006538017535242       -1.0256707063851325       
Redshift      All|All|All                           All                   All      4.268830896309412         0.49524843368811133        7.612911405365559         -0.8894506840671723       
