#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5113.020333058981    All      3.7744942576445975       0.2160480180950941         0.5550632041496029        -1.134333088137136        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4269.742055394577    All      -2.7788716258994595      0.7858912334864243         -0.5574852699471056       1.1362825333560687        
Check         All|All|All                            All                  All      0.9956226317451374       1.0019392515815184         -0.002422065797502704     0.0019494452189325884     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5113.020333058981    All      0.001988106518889365     -0.00014784264781003012    -0.0015768830299326788    -0.0007661179614984275    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4269.742055394577    All      -0.001180044868369024    0.0001009113359119997      -0.001712181623186233     0.0003408427758646612     
MWEBV         All|All|All                            All                  All      -0.049571671670703754    -2.258719527937636         0.0019055799966194442     -0.7195070983085978       
Redshift      All|All|All                            All                  All      4.709881463982726        0.1714364929677359         0.19299720187705982       -1.46970825874848         
