#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F775W            3234.6276101754406    All      -0.06282314695163464      0.0023812293747482727      0.8578762551200048       0.059522287712646116      
Zeropoint     VEGAHST|NICMOS2|F160W          6760.856382223148     All      0.9492219191433214        -0.07737412615966832       1.0624707642422293       -0.2869829155054737       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    4855.626597037223     All      1.07964516494816          0.7556544553624533         -0.17677952209705916     -0.11342329124202077      
Zeropoint     VEGAHST|ACSWF|F850LP           3799.2873326102476    All      -0.9705531218533633       0.3055450691167749         -1.6095163192714868      0.34384184209444446       
Check         All|All|All                    All                   All      0.9954908152864835        0.9862066276943082         0.13405117799368815      0.0029579230595960793     
Lambda        VEGAHST|ACSWF|F775W            3234.6276101754406    All      -0.0002513510246318029    -1.1525884502380042e-05    0.003939136410496782     0.0002539045043542287     
Lambda        VEGAHST|NICMOS2|F160W          6760.856382223148     All      -0.0003415419283989781    1.925730969643006e-05      -0.000354923428048383    0.0001016855793005797     
Lambda        VEGAHST|NICMOS2|F110W_faint    4855.626597037223     All      0.0007633225049321832     0.0004556489310518168      0.0005185445723219961    -7.707914249910518e-05    
Lambda        VEGAHST|ACSWF|F850LP           3799.2873326102476    All      -0.0019514469046156666    -4.1758802956032104e-05    -0.004001620772740403    0.0004434742852749835     
MWEBV         All|All|All                    All                   All      -0.06977023214299494      -1.101747962832178         0.1891309541630859       -0.3277090521071141       
Redshift      All|All|All                    All                   All      5.044694155617051         0.04907130464317788        0.3076984104519842       -1.6135075468214826       
