#Date  :
#Flux  :
#Fluxerr  :
#ZP  :
#end  :
@INSTRUMENT  NICMOS2
@BAND  F160W
@MAGSYS  VEGAHST
53163.68000000017  0.16595869074375613  0.015285293293572172  22.11
53168.549999999814  0.1674942876026435  0.015426726371066277  22.11
