#Format:      
#Parameter    MagSys|Instrument|Band         RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F775W            3234.6276101754406    All      -0.14836152574752903      -0.23698535350007432      3.744216498954672         0.13821948944763676        
Zeropoint     VEGAHST|NICMOS2|F160W          6760.856382223148     All      1.0133305562991786        -0.07459874435511438      2.6719163905270937        -0.23513900819286032       
Zeropoint     VEGAHST|NICMOS2|F110W_faint    4855.626597037223     All      1.0221607187206536        0.4761755568736703        0.3186857521699556        -0.16362384814322453       
Zeropoint     VEGAHST|ACSWF|F850LP           3799.2873326102476    All      -0.8890067551503338       0.8072180273732243        -6.562453568647202        0.25966405329605585        
Check         All|All|All                    All                   All      0.9981229941219694        0.971809486391706         0.17236507300451986       -0.000879313592392239      
Lambda        VEGAHST|ACSWF|F775W            3234.6276101754406    All      -0.0003893521709183637    -0.0007096205775724526    0.010564362532149745      0.00036711702288287504     
Lambda        VEGAHST|NICMOS2|F160W          6760.856382223148     All      -0.0003940321290694862    2.1709869200283955e-05    -0.0009663618516689621    9.229655524140794e-05      
Lambda        VEGAHST|NICMOS2|F110W_faint    4855.626597037223     All      0.0007145935472519375     0.0003221302290108833     0.00021110410371720655    -0.00011841760782794687    
Lambda        VEGAHST|ACSWF|F850LP           3799.2873326102476    All      -0.001452700770804164     0.0005528705593504632     -0.008133782407676926     0.00029030721182504504     
MWEBV         All|All|All                    All                   All      -0.08538680150230382      -1.156723587671138        0.7351876931684816        -0.31616158703737857       
Redshift      All|All|All                    All                   All      4.515911624804718         0.0636106276033388        2.4604757609638863        -1.3404611784851228        
