#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4729.734095926338     All      -1.098530397070615         1.2465475079530108         0.265474008798261         0.7757159101723088         
Zeropoint     AB|PS|PS_r                6006.4412194911665    All      0.8897328928875712         -1.6133225777537064e-05    -1.3715359122726367       -0.3510258782067427        
Zeropoint     AB|PS|PS_i                7275.101172028612     All      0.881038388877921          -0.14354235277771465       1.1675242021059296        -0.28163841236714116       
Zeropoint     AB|PS|PS_z                8360.866421001236     All      0.32301684665257846        -0.1027348474520906        -0.06026061686699169      -0.14137048814835407       
Check         All|All|All               All                   All      0.9952577313474555         1.000254174497428          0.0012016817645621458     0.0016811314500708718      
Lambda        AB|PS|PS_g                4729.734095926338     All      -0.00038689518560996463    0.0002740464648010381      -0.0009469548448903018    0.0001730321943521275      
Lambda        AB|PS|PS_r                6006.4412194911665    All      0.0002782462252411709      -4.5735799633538524e-05    -0.0005247343183892861    -0.00012894808680587674    
Lambda        AB|PS|PS_i                7275.101172028612     All      -0.000169261425625831      -4.611934557296872e-06     -0.0007431220066198094    2.0469633928866526e-05     
Lambda        AB|PS|PS_z                8360.866421001236     All      0.00019332149740059282     -4.518111726964142e-05     0.00017166014982618032    -7.002774402086239e-05     
MWEBV         All|All|All               All                   All      -0.682296668796853         -3.9930835216916094        0.15279818210098828       -1.0716135185494857        
Redshift      All|All|All               All                   All      3.5537264568765212         0.6746504434472556         8.812552072539702         -0.5445460519515721        
