#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4729.734095926338     All      -1.097368984039415         1.202175043945175          0.15794084469138298       0.7560853171685047        
Zeropoint     AB|PS|PS_r                6006.4412194911665    All      1.1148728231823621         -0.024055795200084162      -0.8980866010077431       -0.41106400088615863      
Zeropoint     AB|PS|PS_i                7275.101172028612     All      0.682109001584898          -0.10865267159481107       0.6239125945533942        -0.22973473867292965      
Zeropoint     AB|PS|PS_z                8360.866421001236     All      0.29948511050828275        -0.07041790328496944       0.11899809533002052       -0.1151792425840519       
Check         All|All|All               All                   All      0.9990979512361279         0.9990486738653104         0.002764933567054692      0.00010733502536450223    
Lambda        AB|PS|PS_g                4729.734095926338     All      -0.0002889498457278125     5.7587969639943075e-05     -0.0015536618449382086    4.3545974791928645e-05    
Lambda        AB|PS|PS_r                6006.4412194911665    All      -1.9866052730066247e-05    -1.763599044808464e-05     -0.000500068657078788     -2.158936278104637e-05    
Lambda        AB|PS|PS_i                7275.101172028612     All      -0.00017036376817423837    -1.5851299143928146e-05    -0.0007443242196593751    1.7114023106506785e-05    
Lambda        AB|PS|PS_z                8360.866421001236     All      0.0002481506727062396      -6.231206443316697e-05     4.8532057484755084e-05    -9.896216458110591e-05    
MWEBV         All|All|All               All                   All      -0.6901367017772961        -3.987477547078555         0.107385037079996         -1.0692602916030292       
Redshift      All|All|All               All                   All      4.366982858482605          1.4936425157629607         10.981308514583837        -0.44589611603311347      
