#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3277.077346365548     All      -0.6405236326970031        0.1223541592949573         -0.6471360033281975       0.21961568714527602       
Zeropoint     AB|PS|PS_i                5040.678558210371     All      0.7361673918821401         0.4095010991328252         0.07078966368641115       -0.1032469409851064       
Zeropoint     AB|PS|PS_r                4161.66576248419      All      -0.08140387832250773       0.4004531063230843         1.3273650156472832        0.21619087680432242       
Zeropoint     AB|PS|PS_z                5792.9696233558125    All      0.9733400267552129         0.06522103772539367        -0.7720467036059676       -0.3302571294540185       
Check         All|All|All               All                   All      0.9875799076178422         0.9975294024762604         -0.021028027600470844     0.0023024935104735134     
Lambda        AB|PS|PS_g                3277.077346365548     All      -0.0015440996406890504     0.0002753841179557616      -0.0018243726441159666    0.0005112523473618647     
Lambda        AB|PS|PS_i                5040.678558210371     All      -0.0001217701591318649     -7.729651373959294e-05     -0.001710585173573071     -6.184903041929603e-05    
Lambda        AB|PS|PS_r                4161.66576248419      All      -0.00010057394407830058    0.0002280048342085957      0.000360744911727138      0.00012312730657769192    
Lambda        AB|PS|PS_z                5792.9696233558125    All      -0.0003976691562168193     -1.1597506171641654e-05    0.0007426048465714473     0.00015889528144151984    
MWEBV         All|All|All               All                   All      -0.5073630276559984        -2.3278555014663027        -0.2887263594416131       -0.6058788224930962       
Redshift      All|All|All               All                   All      7.093394547475491          0.831864117611758          5.217690849645202         -1.8067448806066255       
