#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3277.077346365548     All      -0.5616884161793951        0.13543086204670374        -0.07828689248018383       0.22358109900857126       
Zeropoint     AB|PS|PS_i                5040.678558210371     All      0.7140770286142331         0.3989004240064986         -0.6206861880493686        -0.13036176298713287      
Zeropoint     AB|PS|PS_r                4161.66576248419      All      0.08792999224137554        0.3974328439841912         1.5923524587144966         0.17187463797612434       
Zeropoint     AB|PS|PS_z                5792.9696233558125    All      0.7483075153438474         0.06492007589393722        -0.918349320709605         -0.2635834841651877       
Check         All|All|All               All                   All      0.9886261200200608         0.9966842059313308         -0.024969942524660782      0.0015104898323750615     
Lambda        AB|PS|PS_g                3277.077346365548     All      -0.0011471644779491837     0.00028492470887346507     -0.00010584116344566722    0.0004617553574692483     
Lambda        AB|PS|PS_i                5040.678558210371     All      -0.00029432845147728856    -0.00013373292781537614    -0.002024072811574212      -3.801382785790054e-05    
Lambda        AB|PS|PS_r                4161.66576248419      All      4.7379190076008354e-05     0.00018260576640714954     0.0004071095246859586      6.221517303358877e-05     
Lambda        AB|PS|PS_z                5792.9696233558125    All      -0.0005613028208520095     -7.976403755019782e-05     -0.00010737392202458258    0.000152061418887441      
MWEBV         All|All|All               All                   All      -0.5909152030830813        -2.332542115480152         -0.5340063303037823        -0.5911354331103221       
Redshift      All|All|All               All                   All      6.503658195349636          1.1769415175081122         2.5040951382328203         -1.623340600620074        
