#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.711609325137     All      0.7832214780778548         0.15482688596977212       -0.002147745847891512      -0.20478463625056803       
Zeropoint     AB|CNIa02|SDSS_r                      6143.565750973458     All      1.163044270765916          -0.11197547739056901      0.041527567197256705       -0.4134626942835378        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4355.301736794112     All      -0.7468227131963723        0.43902452426554106       -0.14610281014818777       0.37974956106567154        
Zeropoint     AB|CNIa02|SDSS_i                      7450.147258989831     All      0.4012808043709595         -0.06623658803306398      0.07467417005406804        -0.148953430327888         
Zeropoint     AB|CNIa02|SDSS_g                      4701.5847425226075    All      -0.6017862768656401        0.5816473979482151        0.03308680640308892        0.38695979390588875        
Check         All|All|All                           All                   All      0.9989375631527181         0.9972867427598953        0.0010379876583343772      -0.0004914058904335605     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.711609325137     All      7.519507756669703e-05      -3.849825382594017e-05    -0.0007869596856020457     -7.215205482739983e-05     
Lambda        AB|CNIa02|SDSS_r                      6143.565750973458     All      -0.00016889740362133475    -3.148675208568682e-05    -0.0006079758516783844     1.7627999952999756e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4355.301736794112     All      -0.0002019392603285758     5.8720865154615923e-05    -0.00032919580920494584    7.02150813101349e-05       
Lambda        AB|CNIa02|SDSS_i                      7450.147258989831     All      -5.066137502002163e-05     -1.054979674089112e-05    -0.00020137627471010763    4.0791624247054615e-06     
Lambda        AB|CNIa02|SDSS_g                      4701.5847425226075    All      -9.34875060428739e-05      -6.491659096798402e-05    -0.0004962766405779125     -1.2840060157747276e-05    
MWEBV         All|All|All                           All                   All      -0.9050459266720794        -4.080443022405067        0.00577495424232087        -1.0340735918572603        
Redshift      All|All|All                           All                   All      4.538096239675356          0.43491211198736224       2.2188308106026975         -1.2375258327802687        
