#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5448.711609325137     All      0.5401288609188748         0.2539951962661213         -0.1876034287400019        -0.10157502748864289       
Zeropoint     AB|CNIa02|SDSS_r                      6143.565750973458     All      1.197508952706635          -0.15496245309334356       0.011928772135033627       -0.44001210554315273       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4355.301736794112     All      -0.7826279741712072        0.5461687664282344         -0.1244602987986343        0.42727872301759895        
Zeropoint     AB|CNIa02|SDSS_i                      7450.147258989831     All      0.4680786810114614         -0.10097629089456106       0.15564064713878278        -0.17841439845212026       
Zeropoint     AB|CNIa02|SDSS_g                      4701.5847425226075    All      -0.42490216796541974       0.45276560708575886        0.1470279591159418         0.29244645128666535        
Check         All|All|All                           All                   All      0.998186352500344          0.99699082579221           0.0025336508511220046      -0.00027635717965157625    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5448.711609325137     All      0.00015418098408930442     9.061526031665172e-05      -0.0008397172714708192     -5.817817262676057e-05     
Lambda        AB|CNIa02|SDSS_r                      6143.565750973458     All      0.00028918566595231425     -0.00010332124321808499    -0.0006261146729359433     -0.0001557930356230044     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4355.301736794112     All      -0.0006445144729708823     0.00038131097029783524     -0.00033220090701260846    0.0003193204947908763      
Lambda        AB|CNIa02|SDSS_i                      7450.147258989831     All      -3.091160952321999e-05     -3.0005281706728557e-05    -0.00028827733865256354    -1.2569272827006442e-05    
Lambda        AB|CNIa02|SDSS_g                      4701.5847425226075    All      -0.00020874533952889234    0.00025164404481888046     4.117451274439234e-05      0.000151801398239008       
MWEBV         All|All|All                           All                   All      -0.882237816532224         -4.093326635029282         0.008465231253107497       -1.0455795054773231        
Redshift      All|All|All                           All                   All      4.032038175163825          -2.7800689482183394        1.0251391956445643         -2.173180147745557         
