#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7774.644532321885    All      0.31589156334511415        -0.057701251318142965     0.11515937953653355        -0.11655243637353485       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4299.749864113322    All      -0.8765359402228364        0.5921827858163198        0.008700399538130732       0.47879826735370695        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5267.046487443024    All      0.07351020843397069        0.0910627754757698        -0.24261774157077198       -0.005109466955503794      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8047.18177457427     All      0.08114037146002132        -0.016089060128265942     0.02015195238301848        -0.030771535541307404      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6231.088621536906    All      0.37952593344876906        -0.0375097358799259       -0.04252494292688036       -0.13773993045917837       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4325.144413939257    All      -0.24866882602354798       0.19037437493460985       0.11483491446033778        0.14813536945903066        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5299.751020168494    All      0.3464907404232286         0.3139994699794535        -0.0551944171680141        -0.013046549054004236      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6287.685569126909    All      0.9262231493004222         -0.07927767894697624      0.08177632639386756        -0.32387539789297676       
Check         All|All|All                       All                  All      0.9975772001651414         0.9970416799328419        0.00028587064622165315     -0.0001616794637678276     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7774.644532321885    All      -2.011527142152923e-05     9.809923435269964e-06     5.6880383038636824e-05     1.2285930727391674e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4299.749864113322    All      -0.00028659329579531584    8.476534662478178e-05     -0.0006818484542302565     9.053596227705293e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5267.046487443024    All      -1.022656945386707e-05     8.85430556729731e-06      -0.0006431739930437598     -2.2486632581703817e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8047.18177457427     All      -8.005417875270313e-06     1.1860141005724641e-06    -7.332181162851596e-06     2.6667502138541067e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6231.088621536906    All      -0.00010825664673116235    3.2484070906901245e-06    -8.714148062642707e-05     3.24321403830723e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4325.144413939257    All      -6.313256012008132e-05     1.9429326529958874e-05    -0.00015768407801781652    1.985640650214962e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5299.751020168494    All      7.038303058551919e-05      2.944284080171624e-05     -0.0005282514256791542     -3.6909001661839444e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6287.685569126909    All      -0.0002974481197532326     6.084249633801611e-07     -0.0003669532291797266     8.071138512019224e-05      
MWEBV         All|All|All                       All                  All      -0.834483788626732         -3.995626714576783        0.031365942644867584       -1.0282885315334542        
Redshift      All|All|All                       All                  All      3.308444777688811          0.20616942618119083       -0.8976204647303865        -1.0505698225327957        
