#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4641.742022252009    All      -0.17612998415579695      0.09817837832573062       -1.1112673864040357       0.039760498548591094       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4299.866576565737    All      -0.847142439743497        0.7667443537489049        1.777608412708398         0.6050225231379325         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5379.359307382567    All      0.3190117097004732        0.29201670194645146       -1.3810289896747818       -0.0704221431073182        
Zeropoint     AB|CNIa02|SDSS_i                      7355.320279830611    All      0.6902448834708571        -0.007620629646787336     1.7203603910886045        -0.15054597379104417       
Zeropoint     AB|CNIa02|SDSS_r                      6065.369205163188    All      1.0126485758038168        -0.15189059921567605      -0.9848409567108973       -0.4232776501918195        
Check         All|All|All                           All                  All      0.9986327450758531        0.9974282051586236        0.02083147100728766       0.0005372545963416853      
Lambda        AB|CNIa02|SDSS_g                      4641.742022252009    All      -5.117062797316991e-05    1.6675046216405088e-05    -0.0006953415083147531    -8.930329788125788e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4299.866576565737    All      -0.000654570364268187     0.0003913016919675777     6.921115729508356e-05     0.00034376351295934565     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5379.359307382567    All      7.094211429049327e-05     0.00011542170299158567    -0.0009851569919997467    -2.9474566515593787e-05    
Lambda        AB|CNIa02|SDSS_i                      7355.320279830611    All      -0.0001678255443674163    7.488285270306899e-06     -0.0004482274314650759    3.710315033453023e-05      
Lambda        AB|CNIa02|SDSS_r                      6065.369205163188    All      0.00011922764318719037    -6.692147807872211e-05    -0.0008308225735164789    -9.771068854647236e-05     
MWEBV         All|All|All                           All                  All      -0.8402616214368783       -4.006183167727517        0.2735935589694094        -1.0190355793849608        
Redshift      All|All|All                           All                  All      5.634867763001912         -0.865493493063596        4.1884863013183615        -1.9304686100276525        
