#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_g                      4641.742022252009    All      -0.1486690758817279       0.11928726654542032       -0.8537786801011287        0.04918197500107283        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4299.866576565737    All      -0.9009680149834912       0.7129080536245169        0.8605913202430134         0.5640967685606844         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5379.359307382567    All      0.30618572198542576       0.3740426295899546        -0.2919216448844534        0.009076104969172216       
Zeropoint     AB|CNIa02|SDSS_i                      7355.320279830611    All      0.6111651624916066        -0.0625217507949749       0.8573458016903165         -0.18118258581596358       
Zeropoint     AB|CNIa02|SDSS_r                      6065.369205163188    All      1.130122804766032         -0.14564433882906513      -0.562798433475109         -0.4406744394075529        
Check         All|All|All                           All                  All      0.9978365983778458        0.9980718601358518        0.009438363472638822       0.0004978233074128813      
Lambda        AB|CNIa02|SDSS_g                      4641.742022252009    All      -3.566068495931055e-05    2.4050928569459953e-05    -0.00015789436810472078    1.2403936514144547e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4299.866576565737    All      -0.0006432221516248315    0.0002583068014669812     -0.0011150725264571439     0.00024389707393067885     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5379.359307382567    All      0.00010352621920450117    5.3814351913563e-05       -0.0009518206118200789     -5.8668173000094144e-05    
Lambda        AB|CNIa02|SDSS_i                      7355.320279830611    All      -3.535205055223006e-05    3.2134153567035554e-05    4.518148460379659e-05      2.399871905862728e-05      
Lambda        AB|CNIa02|SDSS_r                      6065.369205163188    All      0.0001842843115228109     -6.68192893102092e-05     -0.0005633348409208271     -0.00010693175050135943    
MWEBV         All|All|All                           All                  All      -0.848376151651101        -4.008535068448715        0.17330916198107701        -1.0216337334222172        
Redshift      All|All|All                           All                  All      4.666078894289498         -0.2582946051244761       2.999359114827571          -1.4701828340985656        
