#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7372.4193488727915    All      0.6086023858969026        -0.11918140712428027       0.2306813860824708         -0.22676887398302426       
Zeropoint     AB|PS|PS_g                4793.003195322925     All      -1.101886073312612        1.253484858369891          -0.09007251812797601       0.7632022790550391         
Zeropoint     AB|PS|PS_z                8472.70875249457      All      0.38764762504278893       -0.10269608514841266       0.07211511783934421        -0.15650291174176267       
Zeropoint     AB|PS|PS_r                6086.788680644015     All      1.104774135813734         -0.03240982345795729       -0.20980105722927522       -0.3797806853785349        
Check         All|All|All               All                   All      0.9991380734408138        0.9991975426392408         0.002922928564563776       0.00014980795171731787     
Lambda        AB|PS|PS_i                7372.4193488727915    All      -2.961181902654793e-05    -3.967821719562266e-05     -0.00044164256692225796    -2.2987436429128363e-05    
Lambda        AB|PS|PS_g                4793.003195322925     All      -0.000408968247865197     0.00012352047698711786     -0.0014810312714669683     0.00010735747252812386     
Lambda        AB|PS|PS_z                8472.70875249457      All      0.00047629412953060325    -0.00013207289222635004    2.9417722594710978e-05     -0.000196852375818071      
Lambda        AB|PS|PS_r                6086.788680644015     All      -8.163164756911323e-06    -2.2007256646190358e-05    -0.0002333262530475838     -1.4921755230227369e-05    
MWEBV         All|All|All               All                   All      -0.684150898954949        -4.068260430168369         0.036543748118955666       -1.1006850285736558        
Redshift      All|All|All               All                   All      3.5900590690695067        1.0881867097695341         4.230051631441256          -0.6261743601930033        
