#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                7372.4193488727915    All      0.5819642442988062        -0.11016127940512987       0.2234960453211788         -0.21547445130128162       
Zeropoint     AB|PS|PS_g                4793.003195322925     All      -1.097689378776709        1.2383721726307861         -0.0802633132266831        0.7573503184024233         
Zeropoint     AB|PS|PS_z                8472.70875249457      All      0.3634863108803935        -0.09583051978028223       0.035972856713254536       -0.1480092994433094        
Zeropoint     AB|PS|PS_r                6086.788680644015     All      1.1511104276474586        -0.03303257109701363       -0.17671308946434378       -0.3936002254075204        
Check         All|All|All               All                   All      0.9988716040499497        0.9993478023483604         0.002492499343406479       0.0002663422503118573      
Lambda        AB|PS|PS_i                7372.4193488727915    All      -5.147178084346666e-05    -3.847487840128939e-05     -0.00045592765545166713    -1.6112438552019912e-05    
Lambda        AB|PS|PS_g                4793.003195322925     All      -0.0003014202873152867    -8.141099711652865e-06     -0.0014921217037718849     2.894414142895296e-05      
Lambda        AB|PS|PS_z                8472.70875249457      All      0.00047066925919090583    -0.0001285646716606028     3.92182626546489e-06       -0.0001950151923951596     
Lambda        AB|PS|PS_r                6086.788680644015     All      -0.0001340308283489049    -1.9607917363858827e-05    -0.000308838107569662      2.348928021107569e-05      
MWEBV         All|All|All               All                   All      -0.6880088338144015       -4.065883572733409         0.029595904766353504       -1.0989642019433281        
Redshift      All|All|All               All                   All      3.841518789361259         1.547164132240031          3.795702382859198          -0.577962029534045         
