#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6107.436232444112    All      3.106550982456868          -0.7638293519720563       0.45480351138513975       -1.2404144147782281      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5100.151306596891    All      -2.1088900860440636        1.7674589331184265        -0.45322986526194103      1.2424288363588287       
Check         All|All|All                            All                  All      0.9976608964128046         1.0036295811463702        0.0015736461231987131     0.0020144215806006116    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6107.436232444112    All      -0.0008051851436147628     0.00018158498505243246    -0.0003742770024489051    0.0003047212310526695    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5100.151306596891    All      -0.00037165294405562614    -3.513311507724805e-05    -0.001719964718015349     3.286145361898216e-05    
MWEBV         All|All|All                            All                  All      -0.4848104273057956        -2.8912934909111954       -0.01393819952074282      -0.7844927025862352      
Redshift      All|All|All                            All                  All      7.256186074668648          -1.0928432307650837       -1.6979186731107403       -2.795323831807786       
