#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6107.436232444112    All      3.0957669898512084         -0.7741952458466983        0.3543809886161764        -1.2447596222337103      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5100.151306596891    All      -2.0981511300086395        1.7778896113400222         -0.35125771687325447      1.2468789687742756       
Check         All|All|All                            All                  All      0.9976158598425686         1.003694365493324          0.0031232717429219292     0.0021193465405653367    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6107.436232444112    All      -0.0010252363316048648     0.00022210552950907269     -0.0005732671923138871    0.0003807179986211514    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5100.151306596891    All      -0.00036174285600327767    -2.7577289124396124e-05    -0.0018143812879393036    2.788121512416839e-05    
MWEBV         All|All|All                            All                  All      -0.4851893464395687        -2.8912546566893127        -0.015278127846474199     -0.7844164214217301      
Redshift      All|All|All                            All                  All      7.069107333167796          -0.9948484477281028        -0.8069434381408724       -2.662705873589967       
