#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7972.508011005554    All      0.383160795482331          -0.06662154385548291      0.610916631774594         -0.11924650188426533      
Zeropoint     AB|PS|PS_g                4510.040116773356    All      -1.0355570092001019        0.9321586642094815        0.06573317403475443       0.6438831004079298        
Zeropoint     AB|PS|PS_r                5727.444780094067    All      0.265627605141328          0.3491165744483382        -2.3906423857521952       -0.07948828584398715      
Zeropoint     AB|PS|PS_i                6937.176059790255    All      1.3820913128120282         -0.21518024616327125      1.7097513147332322        -0.4439855468589077       
Check         All|All|All               All                  All      0.9953227042355854         0.9994734486390655        -0.004241265209614653     0.0011627658207696845     
Lambda        AB|PS|PS_z                7972.508011005554    All      5.9744943826901483e-05     6.450647248122004e-05     0.0007182193110730491     3.360181572355905e-05     
Lambda        AB|PS|PS_g                4510.040116773356    All      -0.00027722615336290494    0.0001797687604832796     -0.0002544245274130894    0.00013750447999693528    
Lambda        AB|PS|PS_r                5727.444780094067    All      -2.3977079664259487e-05    -9.247645800762403e-05    -0.0008425911303293876    -5.991347335455722e-05    
Lambda        AB|PS|PS_i                6937.176059790255    All      -0.0008237290365295052     0.00010761736592350254    -0.001263929803600193     0.00024696678155041737    
MWEBV         All|All|All               All                  All      -0.6206484969305235        -3.762254214578231        0.10076307380493255       -1.0188277448001408       
Redshift      All|All|All               All                  All      4.026743605477048          0.3174061603852252        4.08945176556097          -1.0257597893192083       
