#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                7972.508011005554    All      0.32649455247797715       -0.06494423599470167      0.3912916527961224         -0.11004294203244627      
Zeropoint     AB|PS|PS_g                4510.040116773356    All      -0.8099503420967307       0.9122754903993169        0.768007828512013          0.5952582752450142        
Zeropoint     AB|PS|PS_r                5727.444780094067    All      0.2309442932535351        0.3879344648638039        -2.1017028625603866        -0.04265248226726522      
Zeropoint     AB|PS|PS_i                6937.176059790255    All      1.2493050451076857        -0.23644496332480003      0.9431552376697828         -0.4418689709679888       
Check         All|All|All               All                  All      0.9967935487424671        0.9988207559436191        0.0007518564175316156      0.0006938799773139603     
Lambda        AB|PS|PS_z                7972.508011005554    All      -6.759994689259226e-05    3.527711154267954e-05     8.676015676154445e-05      3.738214980833987e-05     
Lambda        AB|PS|PS_g                4510.040116773356    All      -0.0001714109458670272    7.970778325178495e-05     -0.00042898799394902826    6.26538677354382e-05      
Lambda        AB|PS|PS_r                5727.444780094067    All      -7.110882960373172e-05    -6.698539519880879e-05    -0.00017012790961211787    -6.248888994116355e-06    
Lambda        AB|PS|PS_i                6937.176059790255    All      -0.0009088589786604322    0.0001114902505073273     -0.0012000995685085803     0.0002788063805479101     
MWEBV         All|All|All               All                  All      -0.6100025611214086       -3.758932266819315        0.1301048641238757         -1.0199040193201745       
Redshift      All|All|All               All                  All      4.98687132004609          0.7349260043589823        5.064846715863902          -1.1589776272357502       
