#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4277.541552240155     All      -0.8502315701654521        0.7780135316746595        0.8616261316024776        0.5688234142897887         
Zeropoint     AB|CNIa02|SDSS_r                      6033.8776431256865    All      0.9940353397245346         -0.08475326140402473      -0.8276088018391192       -0.3883293182346967        
Zeropoint     AB|CNIa02|SDSS_i                      7317.131256695662     All      0.7460091672148381         -0.012911780352453661     1.5138316850490607        -0.17965016505393172       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5351.429527410352     All      0.10833941328621328        0.31933314410750313       -1.531232655274506        0.00039571890836564635     
Check         All|All|All                           All                   All      0.9981523500601337         0.9996816340256842        0.016616359537913183      0.001239649909525905       
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4277.541552240155     All      -0.00016500269689760834    1.8154344275316286e-05    -0.000892731104278615     1.9821784979398813e-05     
Lambda        AB|CNIa02|SDSS_r                      6033.8776431256865    All      -0.00019825008800779668    -7.486642257666418e-06    -0.0002221010700439429    5.222657952902609e-05      
Lambda        AB|CNIa02|SDSS_i                      7317.131256695662     All      -0.00022820374616783548    3.286502679072139e-05     -0.0001065860337002971    8.02822431080183e-05       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5351.429527410352     All      -2.545698637237049e-05     1.765870396604035e-05     -0.0004671106240137877    -6.8008029809374855e-06    
MWEBV         All|All|All                           All                   All      -0.8242528255019703        -3.9676129942673555       0.2703473427242642        -1.011831460199401         
Redshift      All|All|All                           All                   All      5.156369029189954          -0.41955864500557993      -1.348466925682601        -1.8764389716658147        
