#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4277.541552240155     All      -0.8948774239594322        0.7582926837352844        0.5629014004569303         0.5636115959470085         
Zeropoint     AB|CNIa02|SDSS_r                      6033.8776431256865    All      1.058264187511524          -0.10373099907985406      -0.7687572153815775        -0.41280616452724894       
Zeropoint     AB|CNIa02|SDSS_i                      7317.131256695662     All      0.7364402420269929         -0.060106127260439735     1.139389449593371          -0.20861563996519245       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5351.429527410352     All      0.09731537791754805        0.40501495834819323       -0.9218931732166095        0.05908801814331261        
Check         All|All|All                           All                   All      0.9971423834966326         0.9994705157431838        0.011640461452114281       0.0012778095978797158      
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4277.541552240155     All      -0.0002308177258585394     2.8487985977487088e-05    -0.001147746483773559      3.324574708763808e-05      
Lambda        AB|CNIa02|SDSS_r                      6033.8776431256865    All      -0.00010656479168654686    -6.001654858306605e-06    -9.668669001922146e-05     2.844203918423678e-05      
Lambda        AB|CNIa02|SDSS_i                      7317.131256695662     All      -0.0001809719367008018     3.6739707591476116e-05    -3.5585998181021745e-05    6.932780538810356e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5351.429527410352     All      -1.504525110103866e-05     2.089971236024637e-05     -0.0005219159433343728     -1.1582254324274934e-05    
MWEBV         All|All|All                           All                   All      -0.8347281455595081        -3.9749636744435435       0.19861728946533527        -1.0140146450251741        
Redshift      All|All|All                           All                   All      4.625568348844939          -0.6723346695832966       -1.6320468842114948        -1.7985320656564205        
