#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4348.283175385711     All      -0.9216917668971462        0.8159204057494707         0.3591294660244243        0.5820237490201834         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7549.4171435733915    All      0.848163669222266          0.15913436213679244        1.9871288087550287        -0.13576308152639566       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6196.565347925943     All      1.224713336795928          -0.629949920348194         -1.6835620857782674       -0.6792544830279299        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5377.496016994309     All      -0.2980638602545236        0.5617974285614669         -0.8376976103444261       0.2427025134198059         
Check         All|All|All                                All                   All      0.8531213788665244         0.906902276099536          -0.17500142134324037      0.009708697885663725       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4348.283175385711     All      -0.0014819201430231466     0.0007030923141324555      -0.0010341367064448342    0.0006655816704796937      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7549.4171435733915    All      -0.0002761453148155398     -0.00016296679396588112    -0.0007823440871353352    1.9535442710481227e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6196.565347925943     All      -0.00030488441971567997    -0.0002197101805112878     -0.0008557803651848047    -1.0445495383037812e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5377.496016994309     All      -0.00014087756996445495    0.0004961930767318608      -0.0004907490882663125    0.00018561499075043356     
MWEBV         All|All|All                                All                   All      -1.2344912603645022        -4.3936955342005035        -1.2438939644336955       -1.0845660413561622        
Redshift      All|All|All                                All                   All      7.497300669303974          -6.798941739547004         -3.4075831806172463       -4.8088212718552255        
