#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4348.283175385711     All      -0.7679295438871155       0.7432925882753239        1.4616079634388173         0.5574796166623965        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7549.4171435733915    All      0.9347435665567936        -0.09177810952909482      2.3884162202515014         -0.22778783515030382      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6196.565347925943     All      1.0044807718095372        -0.44844883996759677      -1.9177606508816676        -0.5588478244130041       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5377.496016994309     All      -0.144302794557436        0.7878188537839392        -1.7553676729934895        0.22528868962256263       
Check         All|All|All                                All                   All      1.0269919999217791        0.9908844925625715        0.17689585981516132        -0.003867353278348723     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4348.283175385711     All      -0.000771630573736952     0.0007572522152451866     0.0017861787223701622      0.0005777163758784531     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7549.4171435733915    All      -0.0001458749138667991    -2.656038852262331e-05    -0.00037235699867681476    2.2248083558779207e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6196.565347925943     All      1.3474122351666098e-05    7.5059733021220385e-06    0.0007564405992764259      3.181244724798902e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5377.496016994309     All      -0.0002046281360336051    0.0007029092974303272     -0.002163453036731279      0.00019906982652499904    
MWEBV         All|All|All                                All                   All      -0.7704512240143213       -4.0540250013400225       0.4705481120553365         -1.0485696045518307       
Redshift      All|All|All                                All                   All      6.62532381962108          -4.641438995905478        -5.9678933401360155        -3.9362749847313334       
