#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|r           3916.2072343240097    All      -1.43884408160783          0.2965626117703124         -1.575683297025257        0.49496354452302355       
Zeropoint     AB|MEGACAMPSF|i           4778.358691794067     All      1.6706630658960555         0.5333358130268806         1.1156638322158616        -0.3206779504415641       
Zeropoint     AB|MEGACAMPSF|z           5516.30276429116      All      1.0107386977235255         0.1179594990343702         0.15838430129299919       -0.28373959264235         
Zeropoint     AB|MEGACAMPSF|g           3072.804404831517     All      -0.25196152864548094       0.05215907246398643        0.31751193389283616       0.11323118438201496       
Check         All|All|All               All                   All      0.9905961533662699         1.0000169962955496         0.015876770376439975      0.003777185821124407      
Lambda        AB|MEGACAMPSF|r           3916.2072343240097    All      -0.0018231138231938437     0.0002747540444947295      -0.0026788204944400837    0.0005638011270196358     
Lambda        AB|MEGACAMPSF|i           4778.358691794067     All      3.83279630673207e-05       1.2426860328122209e-05     -0.0006626117248355689    -3.800615929696138e-05    
Lambda        AB|MEGACAMPSF|z           5516.30276429116      All      -0.00011731864200400423    -2.0456894359989346e-05    -8.22015130734265e-05     2.7882781873926858e-05    
Lambda        AB|MEGACAMPSF|g           3072.804404831517     All      -0.0007819584770041997     0.0001845294010349545      0.001190688786433189      0.0003679518702868082     
MWEBV         All|All|All               All                   All      -0.25208858199204287       -2.1226039521595297        0.2528311109237638        -0.5980057029221275       
Redshift      All|All|All               All                   All      2.8469929835298435         -0.4632544851546072        -1.2949192485950611       -1.1360428031732817       
