#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3916.2072343240097    All      -1.3257266667478917        0.3237795506660035         -1.1271028521467246       0.4870010184592163         
Zeropoint     AB|MEGACAMPSF|i           4778.358691794067     All      1.5950721913786623         0.5053070974913254         0.6800390805011886        -0.32462532242953557       
Zeropoint     AB|MEGACAMPSF|z           5516.30276429116      All      0.9756209081761742         0.12253823226480165        0.18484469189083125       -0.26962832349261523       
Zeropoint     AB|MEGACAMPSF|g           3072.804404831517     All      -0.25836900184263845       0.04863471827416532        0.27979187414047163       0.11248703806972261        
Check         All|All|All               All                   All      0.9865974309643065         1.0002595986962959         0.017572794385766866      0.005234410606788101       
Lambda        AB|MEGACAMPSF|r           3916.2072343240097    All      -0.001543312345741755      0.00021377170696788524     -0.0023899273114839623    0.00046568860294343234     
Lambda        AB|MEGACAMPSF|i           4778.358691794067     All      -3.440724730774584e-05     -3.4296488312785727e-05    -0.0006556076522100953    -2.9220680572580762e-05    
Lambda        AB|MEGACAMPSF|z           5516.30276429116      All      -0.00018316160405604817    -2.2750829508114054e-05    -4.001892478462933e-05    5.0465205815127005e-05     
Lambda        AB|MEGACAMPSF|g           3072.804404831517     All      -0.0007926351895750851     0.00013491536512568085     0.0006819273607121027     0.00033256501730238565     
MWEBV         All|All|All               All                   All      -0.29245459058599477       -2.1180334324764516        0.27387459672508674       -0.5824293231723519        
Redshift      All|All|All               All                   All      2.8819472365621452         -0.044725069216866586      -0.2598313121715259       -0.9649085327513065        
