#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6960.132390551493    All      3.14547725754689           -1.8171310727213452       0.5453329957573999        -1.5921490911561798       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5812.214316243927    All      -2.1493133717277626        2.8250380974832012        -0.5407662898376624       1.5961780089586985        
Check         All|All|All                            All                  All      0.9961638858191273         1.007907024761856         0.004566705919737513      0.004028917802518794      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6960.132390551493    All      -0.0020644337077786587     0.0010083396881296293     -0.0011412540936186896    0.0009499744576816051     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5812.214316243927    All      -0.00017619628462115704    -0.0002835002306682253    -0.0014440530460052658    -9.939388056996407e-05    
MWEBV         All|All|All                            All                  All      -0.5193075714964923        -3.5594935883242584       0.014971976174006111      -0.9896204742970448       
Redshift      All|All|All                            All                  All      11.829434074474742         -2.9622141595796236       9.63890486789807          -4.387986406238544        
