#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6960.132390551493    All      3.1450884497322535        -1.7605942857702672       0.8335388059990123        -1.5607452505148718        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5812.214316243927    All      -2.148423806628125        2.768456601381253         -0.8275482300367454       1.564660032734314          
Check         All|All|All                            All                  All      0.9966646431041284        1.0078623156109856        0.005990575962266931      0.003914782219442303       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6960.132390551493    All      -0.001902211535628157     0.0009338372308470997     -0.0011223342778414356    0.0008737097623488535      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5812.214316243927    All      -0.0002369431888875931    -0.0003848136896651206    -0.002022372957439148     -0.00013841550356569733    
MWEBV         All|All|All                            All                  All      -0.5153043746505417       -3.5582822089606836       0.029547792223727498      -0.9898794093731244        
Redshift      All|All|All                            All                  All      11.336031167552909        -2.614596389669188        11.29086232807297         -4.04031902875443          
