#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5686.13080076486      All      0.34904010303298716        0.15299710999014948        -4.9644067052248          -0.2853963230158421        
Zeropoint     AB|SDSS|SDSS_g            4351.5161879121915    All      -0.44481434176392465       0.5492890682951668         -0.09254922097319818      0.31968213901816395        
Zeropoint     AB|SDSS|SDSS_i            6895.427430375196     All      1.0062798564010176         0.10948809848541075        3.502875386084142         -0.13579733876940697       
Zeropoint     AB|SDSS|SDSS_u            3309.2695304917956    All      -0.15978773507306976       0.18674833902876387        1.085979569542822         0.16134048049811084        
Zeropoint     AB|SDSS|SDSS_z            8198.08842117606      All      0.25478643609974605        0.003318727201762073       0.5417996293907823        -0.057733276765943586      
Check         All|All|All               All                   All      1.0055043186967565         1.001841343001253          0.07369865881974857       0.002095680965082114       
Lambda        AB|SDSS|SDSS_r            5686.13080076486      All      -4.328301571989668e-05     -1.968860353231672e-05     0.0015543105102079565     7.7047215663215e-05        
Lambda        AB|SDSS|SDSS_g            4351.5161879121915    All      -1.970313275980052e-05     1.2644729210927959e-05     -0.0002695345854041063    -1.4913277620957934e-06    
Lambda        AB|SDSS|SDSS_i            6895.427430375196     All      -0.0007835270445072123     -0.00011057014908699502    -0.0030757307385867933    8.194846391981319e-05      
Lambda        AB|SDSS|SDSS_u            3309.2695304917956    All      -7.273199480761745e-05     7.369385653622696e-05      0.00035693430041851206    6.362405553784383e-05      
Lambda        AB|SDSS|SDSS_z            8198.08842117606      All      -1.5733787214525615e-05    4.623578864417111e-06      1.0308372747157559e-05    7.091079200424533e-06      
MWEBV         All|All|All               All                   All      -0.8258373536018646        -3.5263059742398184        1.3041161394714285        -0.8214347588046802        
Redshift      All|All|All               All                   All      6.602811682399477          1.6032666555343411         0.5735413919996657        -1.6029217772511997        
