#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5686.13080076486      All      0.25174883561664685        0.15141590845058062        -5.489114893192889         -0.2776357223236131       
Zeropoint     AB|SDSS|SDSS_g            4351.5161879121915    All      -0.46878325142136          0.5499828520340699         -0.230716125802877         0.3215498352509563        
Zeropoint     AB|SDSS|SDSS_i            6895.427430375196     All      1.1479274525626306         0.13067482567947764        4.368911550810837          -0.1363881903654946       
Zeropoint     AB|SDSS|SDSS_u            3309.2695304917956    All      -0.13340875014736864       0.1693927013418417         0.9842502118832194         0.1425549610805249        
Zeropoint     AB|SDSS|SDSS_z            8198.08842117606      All      0.20287569035222208        0.00029303070654407293     0.4446986453418272         -0.046142978903533444     
Check         All|All|All               All                   All      1.0003599769627711         1.001759318212514          0.0780293890401173         0.0039379047388400645     
Lambda        AB|SDSS|SDSS_r            5686.13080076486      All      -2.888439084247968e-05     -2.1686881627991185e-05    0.001121884377740788       5.2409012692174744e-05    
Lambda        AB|SDSS|SDSS_g            4351.5161879121915    All      -0.00010112668547431757    9.285969917587413e-05      -0.00029147149162934993    5.0180713451782005e-05    
Lambda        AB|SDSS|SDSS_i            6895.427430375196     All      -0.0007494451297627295     -9.349884596766669e-05     -0.0027618956425709213     9.041256702372851e-05     
Lambda        AB|SDSS|SDSS_u            3309.2695304917956    All      -0.00010641511736926142    0.00010526124012478531     0.00044287561837575085     8.871345837508946e-05     
Lambda        AB|SDSS|SDSS_z            8198.08842117606      All      -3.4188525835246567e-05    -1.812459214421162e-06     -0.0001504899361084971     3.8302753661111724e-06    
MWEBV         All|All|All               All                   All      -0.7973165618422526        -3.5204621824401983        1.4689011150353712         -0.8214678071133876       
Redshift      All|All|All               All                   All      6.8498934690725015         1.0756604980198148         0.9502117357319901         -1.8384540596929655       
