#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4581.51142722138      All      -0.6017716003745875        0.716300655869162          0.4457452842416582        0.44923106194946477        
Zeropoint     AB|MEGACAMPSF|z           6457.1892776302       All      0.8066176436960416         -0.07122278596938258       0.08847952856974249       -0.2819930730460487        
Zeropoint     AB|MEGACAMPSF|i           5600.701272668736     All      1.2886592118551854         0.16251634218313882        -0.26085793032298127      -0.3784626730053079        
Zeropoint     AB|MEGACAMPSF|g           3589.7112925633814    All      -0.5012448646122994        0.19265786967146425        -0.2730115189983163       0.21384369908175713        
Check         All|All|All               All                   All      0.99226039056434           1.0002520817543825         0.00035536349010306667    0.002619014979865303       
Lambda        AB|MEGACAMPSF|r           4581.51142722138      All      -0.00021285837478870632    -0.00018863634125795527    -0.001698952357582663     -6.792652751077322e-05     
Lambda        AB|MEGACAMPSF|z           6457.1892776302       All      -0.00016144489355570041    -2.1802358193081352e-05    -0.0003126449585386358    3.1534259297337454e-05     
Lambda        AB|MEGACAMPSF|i           5600.701272668736     All      -0.00027628087895794197    -0.0001903678074083419     -0.0013348163395855003    -3.1582008786193314e-05    
Lambda        AB|MEGACAMPSF|g           3589.7112925633814    All      -0.0011806861617487613     0.00044025129351955497     -0.0006791906189387366    0.0004976834985256383      
MWEBV         All|All|All               All                   All      -0.4053006718706018        -2.698004276553334         -0.037547755796409        -0.7484845756439219        
Redshift      All|All|All               All                   All      4.6816147475017615         1.7992587513996128         7.537218166872305         -0.6025267450295255        
