#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4581.51142722138      All      -0.5976669343285507        0.7090856153428859         0.36430547538574           0.4419095764818512         
Zeropoint     AB|MEGACAMPSF|z           6457.1892776302       All      0.7762565310386427         -0.06315395307172622       0.05740305100719878        -0.27086197593562955       
Zeropoint     AB|MEGACAMPSF|i           5600.701272668736     All      1.2548876024096207         0.1860427468717063         -0.18395993253170762       -0.35636722029145224       
Zeropoint     AB|MEGACAMPSF|g           3589.7112925633814    All      -0.4348104240195483        0.16660488883566416        -0.23200887158517092       0.18554726301239222        
Check         All|All|All               All                   All      0.9986667751001642         0.9985792979785302         0.005739722276060233       0.00022764326716162575     
Lambda        AB|MEGACAMPSF|r           4581.51142722138      All      -0.00027295805027148165    -0.00023422883343330136    -0.001927131430269017      -7.33836446608062e-05      
Lambda        AB|MEGACAMPSF|z           6457.1892776302       All      -0.00020367807019304354    -2.0931286691746176e-05    -0.00033040102129563504    4.4782359473548976e-05     
Lambda        AB|MEGACAMPSF|i           5600.701272668736     All      -0.000360562086954113      -0.0002249606315693973     -0.0015478755595160368     -2.4904721911720308e-05    
Lambda        AB|MEGACAMPSF|g           3589.7112925633814    All      -0.001084740705452692      0.0004047825472445762      -0.0006650556169488529     0.0004555083495684936      
MWEBV         All|All|All               All                   All      -0.41298819540526654       -2.6909092183137417        -0.0188759898851365        -0.7428361672712505        
Redshift      All|All|All               All                   All      5.120967521585111          2.0533785492265366         8.339922419448332          -0.6270422152749685        
