#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           3987.681473131979     All      1.0539119629974802       0.7334963974827247        -0.312190178333009         -0.11830150486852693       
Zeropoint     AB|MEGACAMPSF|r           3261.3617789406308    All      -1.36167003476642        -0.0925587671762429       0.04233140331743094        0.4152803484836043         
Zeropoint     AB|MEGACAMPSF|z           4593.233950613886     All      1.3017575106641024       0.35718825761694717       0.27037446299551404        -0.29561171062435504       
Check         All|All|All               All                   All      0.9939994388951626       0.9981258879234289        0.0005156879799360081      0.0013671329907223306      
Lambda        AB|MEGACAMPSF|i           3987.681473131979     All      0.0009048428213169861    0.0006134774452615056     -0.00019566527687742296    -0.00010363893126634773    
Lambda        AB|MEGACAMPSF|r           3261.3617789406308    All      -0.003431121113247979    -0.000254900021253175     -0.0003963095880675453     0.0010169142275014821      
Lambda        AB|MEGACAMPSF|z           4593.233950613886     All      0.0001236840285964857    2.3124502632474898e-05    -0.00011034276760799654    -3.767963684895972e-05     
MWEBV         All|All|All               All                   All      -0.503908196230177       -1.6489934023940833       0.04827229837896907        -0.37083775286188525       
Redshift      All|All|All               All                   All      5.721630115302895        0.539993132125538         0.7353827737002763         -1.6550128805147946        
