#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5448.795137846303    All      0.7570494628335234        0.9092427176533857        1.7833088085725284         0.1291552317896738        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6278.724341668162    All      1.0341224551814174        -0.340556555493543        -0.5713939943949892        -0.4732768690251056       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7649.513322832417    All      0.3208573241582148        -0.2273473753813149       -0.3112602066182274        -0.19245841949388498      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4405.93617348013     All      -1.198474995294875        0.7432648107417617        -0.9826792162321379        0.588636076030239         
Check         All|All|All                                All                  All      0.9135542468782807        1.0846035975202895        -0.08202460867282602       0.052056019300922296      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5448.795137846303    All      -7.858023707599953e-05    0.0007138417961470783     -0.0017280111206828147     0.00018100472628323526    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6278.724341668162    All      -0.000382641936528836     8.646900371204288e-05     -0.0008123184698326095     0.00011655482406313073    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7649.513322832417    All      -9.298184236513892e-05    4.6789889507650915e-05    -0.00024784017646120615    3.446828263765622e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4405.93617348013     All      -0.0010725769286888574    0.0008834890912247206     -0.0011678077564305023     0.0005850411587239736     
MWEBV         All|All|All                                All                  All      -1.0682373659441757       -3.979048162857879        -0.3729526690486873        -0.9647900040955615       
Redshift      All|All|All                                All                  All      5.678810982404499         -2.4427042566583346       1.3369420010306055         -2.585783122124313        
