#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4297.951073917367    All      -0.6960254180847243        0.47743361981531507       -0.2645637130293199       0.3704279508843722        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7808.841779577642    All      0.30347120007128253        -0.04347180189867572      0.11877913675570895       -0.10771018248678377      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6425.981616164406    All      0.9902508523494882         -0.0047914072336396885    0.041502077334654164      -0.32226595276491216      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5376.962912793027    All      0.6980537591017422         0.42065049459294457       0.07006747317858109       -0.08723258002714396      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3525.151793735146    All      -0.29959499437054204       0.1485260988229875        0.03750588323487847       0.14764149810967686       
Check         All|All|All                               All                  All      0.9961553990672465         0.9983470040989317        0.003290857474502751      0.0008607337152091721     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4297.951073917367    All      -0.00022917828357467591    3.7519778830693146e-05    -0.0006242145881649809    5.90165028751683e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7808.841779577642    All      -3.5531442386500915e-06    6.938685670354697e-06     8.005286579740542e-05     6.989925903338544e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6425.981616164406    All      -0.0003944620201200002     -8.263175239033178e-06    -0.0009200285558597932    8.474102043263042e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5376.962912793027    All      -7.309065544905272e-06     5.959722856205631e-06     -0.0010036140067095696    -4.046460277462546e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3525.151793735146    All      -0.0004103860642221665     0.00014408814944819872    0.00010664101423865069    0.00018536939173324443    
MWEBV         All|All|All                               All                  All      -1.0306511706494716        -3.9060885806279977       0.019307330892492924      -0.935762966008552        
Redshift      All|All|All                               All                  All      5.265005740885307          -0.3619912656423807       1.6593852502285067        -1.7588473052919815       
