#Format:      
#Parameter    MagSys|Instrument|Band                    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B    4297.951073917367    All      -0.6903278369124445        0.5132029563591267        -0.16523931067613618      0.38465570283678846        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I    7808.841779577642    All      0.3183722832234704         -0.05170398031291157      0.14140734675888406       -0.11423565375583546       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R    6425.981616164406    All      0.9906091241586727         -0.036731963900304976     -0.042827883029992186     -0.3365500026169664        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V    5376.962912793027    All      0.6286128275731283         0.43567230196961404       0.056264682929166         -0.06033624235902885       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_U    3525.151793735146    All      -0.25256827875727594       0.13859499687383092       0.012299386167589979      0.12796361287819763        
Check         All|All|All                               All                  All      0.9946981192855511         0.9990343109893551        0.001904222149511671      0.0014974169831554196      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B    4297.951073917367    All      -0.00032155813477914466    0.00012130399458726189    -0.0005627357177166019    0.00011914245473590622     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I    7808.841779577642    All      -1.961138531806005e-06     6.504633573345866e-06     6.694825939530584e-05     5.745173824856278e-06      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R    6425.981616164406    All      -0.00033701676194414015    -8.97009705886298e-06     -0.0007356578563931526    7.402655979134048e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V    5376.962912793027    All      4.017195349373391e-05      3.835393041217739e-05     -0.0009498686468207042    -4.2980465047554724e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_U    3525.151793735146    All      -0.00047727748629411773    0.00020258307903306183    -1.64681289914661e-05     0.00022071805591379436     
MWEBV         All|All|All                               All                  All      -1.0024391970068578        -3.9194165004090564       0.015347164328663933      -0.9494705999638996        
Redshift      All|All|All                               All                  All      5.504332046060426          -1.0817597456192374       2.0160125660535417        -2.055341390921931         
