#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7419.859755207275    All      0.10787110803501165        0.004389735485332835       0.07545767255744407        -0.03033995811378143      
Zeropoint     AB|SDSS|SDSS_i            6240.857850890758    All      1.0668481711709883         0.03389616755100633        0.005843563740448587       -0.33620567927932915      
Zeropoint     AB|SDSS|SDSS_r            5146.357409668835    All      1.036029906121156          0.4235182259423098         0.6944399426953352         -0.16852554007478343      
Zeropoint     AB|SDSS|SDSS_g            3938.435178793889    All      -1.212738802702387         0.5370349157296062         -0.7758871544069845        0.5353345857583832        
Check         All|All|All               All                  All      0.9980103826247686         0.9988390447082551         -0.00014597541375671597    0.0002634082904892088     
Lambda        AB|SDSS|SDSS_z            7419.859755207275    All      -1.8282524738544695e-05    -5.907926831972283e-07     -1.3091043543015406e-05    5.178586022786436e-06     
Lambda        AB|SDSS|SDSS_i            6240.857850890758    All      -0.0002035132977413022     -1.6061403780886044e-05    -0.00012438176211091204    5.55086620688017e-05      
Lambda        AB|SDSS|SDSS_r            5146.357409668835    All      0.0002691394548281693      6.775831681363916e-05      -0.00023642362925621762    -7.614696261323517e-05    
Lambda        AB|SDSS|SDSS_g            3938.435178793889    All      -0.0009550009355355107     0.0002991166310805723      -0.0014697790481975534     0.0003429178622192242     
MWEBV         All|All|All               All                  All      -0.5798115045126853        -3.2180198284674333        0.09294353022313295        -0.8552036027082016       
Redshift      All|All|All               All                  All      4.62296451380187           0.6905197314775791         -4.023898645424362         -1.4604947546408564       
