#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      2.8689991804225703        -1.0348045670896866       -0.3520743020343886       -1.2873087709742568       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -1.8719379967924459       2.0400885984992456        0.35748343375640035       1.2902286077251852        
Check         All|All|All                            All                  All      0.9970611836301243        1.005284031409559         0.00540913172201174       0.0029198367509284395     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      -0.0008910257468351285    0.0003241154253328723     -0.0002491362262238924    0.0003846936511971751     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -0.0002524277245623866    -9.471955070665424e-05    -0.0016162425057405973    -2.075473922825065e-05    
MWEBV         All|All|All                            All                  All      -0.5320552487815058       -2.9985004319668107       -0.006776615957693188     -0.8037047490460941       
Redshift      All|All|All                            All                  All      5.540868317954986         0.6982021086971102        9.012446402187669         -1.1752316130808356       
