#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      3.0507853002033904         -0.9161193545857316       0.5844333618343125        -1.266070776618183        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -2.0534157731316043        1.920357547825624         -0.5826263127237586       1.2683887674638676        
Check         All|All|All                            All                  All      0.9973695270717862         1.0042381932398925        0.0018070491105538489     0.0023179908456847365     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6280.560409111819    All      -0.0009835777865679022     0.0001351283888496391     -0.0016992680624368657    0.0002885688765028308     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5244.722524736646    All      -0.00037740526632555344    -8.409797646938103e-05    -0.0018412062757946067    1.3375254095215388e-05    
MWEBV         All|All|All                            All                  All      -0.5325505989171946        -2.9993335243650776       -0.013132277482981864     -0.8040983867957822       
Redshift      All|All|All                            All                  All      5.901406630658117          0.8788345952856602        9.154627660823087         -1.2274879628142328       
