#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7090.433269678414    All      0.7233901474963939         -0.1429169079544934       0.2679510884158793        -0.27022728219475955      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4116.79249875        All      -0.9261532798595824        0.5086072776387063        -0.5489808475685055       0.4428502219483399        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5159.100658276561    All      0.02909497373577985        0.7687249994330791        1.675868484972101         0.3157081459734454        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5843.074464061872    All      1.1701583438898417         -0.13624784553556424      -1.3952439983527134       -0.48780280690544875      
Check         All|All|All                      All                  All      0.9964901852624328         0.9981675235817278        -0.000405272533238632     0.0005282788215769663     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7090.433269678414    All      -0.00038871504364761935    5.169166234360654e-05     -0.0003665108742256853    0.00012709925609847135    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4116.79249875        All      -0.0005889803540993908     0.0002682073944457571     -0.0006489654188843914    0.000250253904285989      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5159.100658276561    All      -4.234867384027708e-05     0.00017253684594687656    -0.0006174683364305331    4.244050739288945e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5843.074464061872    All      -0.00011256653148235638    -5.042903232832814e-05    -0.0004703536410720983    -7.494950074427471e-07    
MWEBV         All|All|All                      All                  All      -0.7784780434684189        -3.7906505092228926       0.056675764916104404      -0.9786344905410318       
Redshift      All|All|All                      All                  All      5.843643196649704          1.0824791837849013        14.456494037617587        -0.9057408240101607       
