#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7090.433269678414    All      0.7211773043072724         -0.12749183967093458      0.38739953025769824       -0.2591515988055057       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4116.79249875        All      -0.8090499307578976        0.4385792145902734        -0.5987473166094603       0.37967451562627846       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5159.100658276561    All      0.05155496289200989        0.7953634052144665        1.584640566750617         0.3129981107385313        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5843.074464061872    All      1.0314458107485898         -0.10764498589335147      -1.3706761580490112       -0.43220632908620715      
Check         All|All|All                      All                  All      0.9951281471899749         0.9988057942404538        0.0026166223498436114     0.001314698473096898      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7090.433269678414    All      -0.00038007359935609257    3.588302868777486e-05     -0.0004973326628837072    0.00011329708574227999    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4116.79249875        All      -0.0005485044347177982     0.00027972295345392854    -0.0005540893639510815    0.000245054444726524      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5159.100658276561    All      -0.00023265455138103713    0.0002781647666079851     -0.0004257888422640055    0.0001473896568725907     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5843.074464061872    All      3.760287023592062e-05      -0.000124631888565102     -0.0006714818064203124    -8.281034732267278e-05    
MWEBV         All|All|All                      All                  All      -0.7836241511071451        -3.789500886794439        0.058299482049323226      -0.9765113050965918       
Redshift      All|All|All                      All                  All      5.854167817797379          0.6594353486419458        13.659891602642471        -1.0825170422128383       
