#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint AB|SDSS|SDSS_z 8569.27610844178 All 0.28386938096074976 0.013779410438077733 0.2669497074267928 -0.07606444970853465
Zeropoint AB|SDSS|SDSS_i 7207.6340850360875 All 0.8579342201785449 -0.1839685079066662 3.3803691426098066 -0.1885316467581979
Zeropoint AB|SDSS|SDSS_r 5943.583713321212 All 3.305453990431909 0.49610863467271393 7.953538352658853 -0.560166319688903
Zeropoint AB|SDSS|SDSS_u 3459.10447254844 All 0.007106928837324035 0.025874239603263405 -0.11427053436468926 0.001013761419536463
Zeropoint AB|SDSS|SDSS_g 4548.541292657128 All -0.8850637781573408 0.7049449146367497 -0.5680868473220965 0.49256703410780567
Check All|All|All All All 3.569300742251187 1.0567386914441386 10.918499821008668 -0.33118162062829337
