#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8569.27610844178      All      0.24600976853642342        -0.018939346108304278      0.15386131759361465        -0.07943651926202036      
Zeropoint     AB|SDSS|SDSS_i            7207.6340850360875    All      0.46089879438380393        -0.056409559218906224      0.1535415578060834         -0.16165249517370578      
Zeropoint     AB|SDSS|SDSS_r            5943.583713321212     All      1.0159422620968948         0.26974816664191437        -0.29265100453127474       -0.25611963618103095      
Zeropoint     AB|SDSS|SDSS_u            3459.10447254844      All      -0.25358817556174684       0.18775028668072125        0.06142293323471886        0.14649948016144124       
Zeropoint     AB|SDSS|SDSS_g            4548.541292657128     All      -0.47453809580311535       0.6175687845980882         -0.07436553226432202       0.3524165480394109        
Check         All|All|All               All                   All      0.9947245536522599         0.9997183325935133         0.0018092718388201257      0.0017073775840950045     
Lambda        AB|SDSS|SDSS_z            8569.27610844178      All      -3.242956098439766e-06     -8.698375014482606e-06     -6.484368589934122e-05     -4.670685304316803e-06    
Lambda        AB|SDSS|SDSS_i            7207.6340850360875    All      -0.00023460776135409244    -4.641442675649856e-05     -0.0011751791032652665     8.857914478909559e-06     
Lambda        AB|SDSS|SDSS_r            5943.583713321212     All      -0.0002063049223324934     -1.6267982763237853e-05    -0.00024425886365394477    5.100113200282252e-05     
Lambda        AB|SDSS|SDSS_u            3459.10447254844      All      -0.00015171595618454286    8.794662939343669e-05      5.404917882456006e-05      8.047795539965613e-05     
Lambda        AB|SDSS|SDSS_g            4548.541292657128     All      -0.0001944050355594421     8.347408642836793e-05      -0.0005373626347022159     6.653434561355259e-05     
MWEBV         All|All|All               All                   All      -0.9360820779420918        -3.7897497034512284        0.0931399515186786         -0.9253770202446507       
Redshift      All|All|All               All                   All      5.820223468427276          0.053764023624758295       9.36592440664733           -1.4603673619191642       
