#Format:        
#Parameter MagSys|Instrument|Band RestLamb Phase dmu/dP dmB/dP ds/dP dc/dP
Zeropoint Linear_AB11_off|SWOPE|SWOPE_u 3589.297404534669 All -0.0960048082759234 0.015892550685347118 -0.061877711458853124 0.03368733305909044
Zeropoint Linear_AB11_off|SWOPE|SWOPE_i 7593.501293406801 All 0.09509095240818063 -0.028292357371677568 0.022617343764515407 -0.039180695011113875
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1 4388.949362509402 All -0.24713258149252715 0.11323541019224859 -0.29984265322200665 0.10400311016070385
Zeropoint Linear_AB11_off|SWOPE|SWOPE_B 4392.059965605141 All -0.30578370122514015 0.14473127797271346 -0.12464957105780305 0.14118501236577674
Zeropoint Linear_AB11_off|SWOPE|SWOPE_r 6210.675092318695 All 0.36604109800812873 -0.04832014133062934 0.0561151409534526 -0.13246692671926225
Zeropoint Linear_AB11_off|SWOPE|SWOPE_V-LC-9844 5365.25465952705 All 0.06084350544376954 0.13098331897626636 0.06592195116034505 0.02578863871057463
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1 5427.787649453273 All 0.1477277607729089 0.004256037252268641 -0.174571579245963 -0.05452378823366033
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1 7620.021103309322 All 0.15689402622305673 0.001989956270863402 0.09600657112909383 -0.046173019448699504
Zeropoint Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1 6254.517113208704 All 0.5586989947015704 0.23329247733445158 0.24506962859647663 -0.09505927630273664
Zeropoint Linear_AB11_off|SWOPE|SWOPE_g 4797.91407226468 All -0.2822245350841077 0.2150518821788605 0.06317766589965101 0.1647986180753161
Check All|All|All All All 0.45415071147991654 0.7828204121607127 -0.1120332134810913 0.10205900665598916
