#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3589.297404534669    All      -0.1808994683786359        0.09467753794671907       0.0019086172494390994      0.08984966999626325       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7593.501293406801    All      0.15234627538435108        -0.057306417641811436     0.07162854003791089        -0.06509432672344259      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4388.949362509402    All      -0.40647063725744215       0.27457939493560346       -0.37194080883903397       0.20524239132967362       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4392.059965605141    All      -0.3327490830197124        0.2430279775511135        0.04704626997943255        0.18964899008404176       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6210.675092318695    All      0.6173895092744234         -0.18007060331433067      -0.0014724863646720819     -0.25982470463215446      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5365.25465952705     All      0.23274012049930737        0.16197922544192167       0.1865193815361289         -0.01472564813906711      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5427.787649453273    All      0.27935847240550316        0.21979128697724448       -0.14403289112904105       -0.0258305184081229       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7620.021103309322    All      0.18435576372030016        -0.02192249953107961      0.07117948683168483        -0.06401520311252083      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6254.517113208704    All      0.6442203956428378         -0.02986292362119336      -0.11706563214362857       -0.22479521526635451      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4797.91407226468     All      -0.19519342850045623       0.2921155529832298        0.2567345766814633         0.1701894522765624        
Check         All|All|All                                All                  All      0.9950979197704761         0.9970085317274169        0.0005050538396839666      0.000644887404878669      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3589.297404534669    All      -0.00043819717835394796    0.0002259559805047168     -2.9865672774393768e-05    0.00021500376602233642    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7593.501293406801    All      -3.7225236801441415e-05    8.901956674787895e-06     -4.9725042618118645e-05    1.2806144181611419e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4388.949362509402    All      -0.00038457663283599056    0.0002679361991677144     -0.0003668552458272398     0.00019617383170207595    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4392.059965605141    All      -0.0002614509337587397     0.00020012580784907404    -0.00019014155422047673    0.00014186558588912327    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6210.675092318695    All      -0.00010372091459699703    4.2153055622473656e-05    -0.00030903677852837843    3.3725059140417864e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5365.25465952705     All      3.63099223318704e-05       0.0001549622833094282     -0.000568924523885652      1.3260488991929464e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5427.787649453273    All      5.452270007441378e-05      0.00015490942658183334    -0.0007005282303193933     1.4379019393038008e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7620.021103309322    All      -3.1938359013922627e-05    -7.29541374258415e-06     -3.0508124494626457e-05    6.665580526245815e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6254.517113208704    All      -0.00011658457793154079    -9.728812977614576e-06    -6.799907214644295e-05     3.17719518142878e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4797.91407226468     All      -0.00018927515507203348    0.0002281524212665039     -0.00025523405107467613    0.00012457997112094683    
MWEBV         All|All|All                                All                  All      -0.9957946489079164        -4.055201013024412        0.02589043467725315        -0.9953939330832939       
Redshift      All|All|All                                All                  All      8.838569950685512          -3.9958795694117644       5.9258091459284294         -3.916160803617291        
